FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.7000E+02,8.6000E+02,2.4310E-02,-2.0986E-02,2.0846E+01,6.9402E+00,3.0711E-01,-1.6545E-03,-2.0561E-03,-1.4237E-02,1.7082E-02,4.4628E-02,0.0000E+00,4.0000E+00,6.2306E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,4.7000E+02,8.6000E+02,2.3640E-02,1.6301E-01,2.0846E+01,6.9402E+00,3.0711E-01,-1.9130E-04,6.3532E-03,-3.2797E-02,1.9661E-02,4.3391E-02,0.0000E+00,4.0000E+00,7.1715E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,4.7000E+02,8.6000E+02,3.9629E-02,1.6274E-01,2.0846E+01,6.9402E+00,3.0711E-01,-2.2120E-03,6.0107E-03,-2.9708E-02,2.1013E-02,4.1255E-02,0.0000E+00,4.0000E+00,7.6648E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,4.7000E+02,8.6000E+02,-1.3104E-04,1.9946E-01,2.0846E+01,6.9402E+00,3.0711E-01,9.2393E-04,1.0554E-02,-1.2702E-02,2.0343E-02,4.2907E-02,0.0000E+00,4.0000E+00,7.4203E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,4.7000E+02,8.6000E+02,1.0643E-02,1.9344E-01,2.0846E+01,6.9402E+00,3.0711E-01,-5.9246E-04,1.2540E-02,-9.6174E-03,1.9142E-02,4.2026E-02,0.0000E+00,4.0000E+00,6.9822E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,4.7000E+02,8.6000E+02,2.2086E-02,2.2412E-01,2.0846E+01,6.9402E+00,3.0711E-01,-1.1454E-04,1.0326E-02,-3.1913E-02,1.8270E-02,4.1311E-02,0.0000E+00,4.0000E+00,6.6640E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,4.7000E+02,8.6000E+02,-9.4193E-03,2.2023E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.9654E-03,1.2632E-02,-1.3094E-02,1.7696E-02,4.1719E-02,0.0000E+00,4.0000E+00,6.4548E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,4.7000E+02,8.6000E+02,-7.1470E-01,-1.0005E+00,2.0846E+01,6.9402E+00,3.0711E-01,1.2813E-02,4.9951E-02,8.7167E-01,1.8123E-02,3.9543E-02,0.0000E+00,4.0000E+00,6.6104E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,4.7000E+02,8.6000E+02,-7.2783E-01,-9.8631E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.3281E-02,5.1597E-02,8.8488E-01,1.7618E-02,4.2847E-02,0.0000E+00,4.0000E+00,6.4262E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,4.7000E+02,8.6000E+02,-7.2687E-01,-9.4041E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.3409E-02,5.3906E-02,8.8166E-01,1.7130E-02,4.0262E-02,0.0000E+00,4.0000E+00,6.2482E-02,0.0000E+00,0.0000E+00,0.0000E+00
10,4.7000E+02,8.6000E+02,-7.1041E-01,-9.4449E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.3318E-02,5.3356E-02,8.5804E-01,1.7138E-02,4.1072E-02,0.0000E+00,4.0000E+00,6.2511E-02,0.0000E+00,0.0000E+00,0.0000E+00
11,4.7000E+02,8.6000E+02,-7.3069E-01,-9.4974E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.4643E-02,5.1986E-02,8.7144E-01,1.9769E-02,3.9737E-02,0.0000E+00,4.0000E+00,7.2108E-02,0.0000E+00,0.0000E+00,0.0000E+00
12,4.7000E+02,8.6000E+02,-1.3501E+00,-2.1192E+00,2.0846E+01,6.9402E+00,3.0711E-01,1.0227E-02,1.0254E-01,1.8236E+00,1.7356E-02,4.3257E-02,0.0000E+00,4.0000E+00,6.3308E-02,0.0000E+00,0.0000E+00,0.0000E+00
13,4.7000E+02,8.6000E+02,-1.3241E+00,-2.0962E+00,2.0846E+01,6.9402E+00,3.0711E-01,8.9578E-03,9.9814E-02,1.8031E+00,1.6879E-02,4.2920E-02,0.0000E+00,4.0000E+00,6.1568E-02,0.0000E+00,0.0000E+00,0.0000E+00
14,4.7000E+02,8.6000E+02,-1.3202E+00,-2.0709E+00,2.0846E+01,6.9402E+00,3.0711E-01,8.3188E-03,1.0115E-01,1.8057E+00,1.9219E-02,4.2819E-02,0.0000E+00,4.0000E+00,7.0101E-02,0.0000E+00,0.0000E+00,0.0000E+00
15,4.7000E+02,8.6000E+02,-1.3352E+00,-2.0756E+00,2.0846E+01,6.9402E+00,3.0711E-01,9.5635E-03,1.0369E-01,1.8104E+00,1.7123E-02,3.9268E-02,0.0000E+00,4.0000E+00,6.2456E-02,0.0000E+00,0.0000E+00,0.0000E+00
16,4.7000E+02,8.6000E+02,-1.3186E+00,-2.0732E+00,2.0846E+01,6.9402E+00,3.0711E-01,8.8719E-03,1.0034E-01,1.7961E+00,1.7410E-02,4.2463E-02,0.0000E+00,4.0000E+00,6.3502E-02,0.0000E+00,0.0000E+00,0.0000E+00
17,4.7000E+02,8.6000E+02,-7.3597E-01,-9.4336E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.2101E-02,5.9012E-02,9.1084E-01,1.8454E-02,4.4610E-02,0.0000E+00,4.0000E+00,6.7312E-02,0.0000E+00,0.0000E+00,0.0000E+00
18,4.7000E+02,8.6000E+02,-7.6512E-01,-9.4183E-01,2.0846E+01,6.9402E+00,3.0711E-01,1.4942E-02,5.9995E-02,9.1639E-01,1.7919E-02,4.6321E-02,0.0000E+00,4.0000E+00,6.5359E-02,0.0000E+00,0.0000E+00,0.0000E+00
