FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.9400E+02,7.5800E+02,6.6827E-03,3.7825E-02,2.2774E+01,-1.7249E+00,3.3248E-02,6.5159E-04,-1.3727E-03,-1.5076E-03,1.5120E-02,1.0520E-02,0.0000E+00,4.0000E+00,1.0045E-01,0.0000E+00,0.0000E+00,0.0000E+00
1,5.9400E+02,7.5800E+02,-2.3826E-02,4.1268E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-2.0996E-03,-1.9939E-02,7.6476E-03,1.6043E-02,1.3392E-02,0.0000E+00,4.0000E+00,1.0658E-01,0.0000E+00,0.0000E+00,0.0000E+00
2,5.9400E+02,7.5800E+02,-2.7218E-02,4.7238E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-2.2862E-03,-2.2682E-02,1.1501E-02,1.6669E-02,1.3115E-02,0.0000E+00,4.0000E+00,1.1074E-01,0.0000E+00,0.0000E+00,0.0000E+00
3,5.9400E+02,7.5800E+02,-2.3295E-02,5.0608E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-2.1320E-03,-2.4085E-02,4.8598E-03,1.6703E-02,1.2607E-02,0.0000E+00,4.0000E+00,1.1096E-01,0.0000E+00,0.0000E+00,0.0000E+00
4,5.9400E+02,7.5800E+02,-3.4376E-02,5.3876E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-3.1499E-03,-2.5674E-02,8.2157E-03,1.6172E-02,1.3368E-02,0.0000E+00,4.0000E+00,1.0743E-01,0.0000E+00,0.0000E+00,0.0000E+00
5,5.9400E+02,7.5800E+02,-3.8932E-02,6.0223E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-3.5643E-03,-2.8455E-02,9.3566E-03,1.5705E-02,1.1617E-02,0.0000E+00,4.0000E+00,1.0433E-01,0.0000E+00,0.0000E+00,0.0000E+00
6,5.9400E+02,7.5800E+02,-3.9307E-02,6.2980E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-3.5562E-03,-2.9444E-02,1.0307E-02,1.6518E-02,1.2294E-02,0.0000E+00,4.0000E+00,1.0973E-01,0.0000E+00,0.0000E+00,0.0000E+00
7,5.9400E+02,7.5800E+02,-4.9890E-02,6.7062E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-4.6756E-03,-3.1216E-02,9.7182E-03,1.5359E-02,1.1313E-02,0.0000E+00,4.0000E+00,1.0203E-01,0.0000E+00,0.0000E+00,0.0000E+00
8,5.9400E+02,7.5800E+02,-4.3603E-02,7.0171E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-4.0344E-03,-3.3166E-02,9.2766E-03,1.5915E-02,1.1481E-02,0.0000E+00,4.0000E+00,1.0572E-01,0.0000E+00,0.0000E+00,0.0000E+00
9,5.9400E+02,7.5800E+02,-6.0810E-02,7.4777E-01,2.2774E+01,-1.7249E+00,3.3248E-02,-5.5809E-03,-3.5586E-02,1.5414E-02,1.4885E-02,1.1486E-02,0.0000E+00,4.0000E+00,9.8886E-02,0.0000E+00,0.0000E+00,0.0000E+00
