FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5900E+02,5.4000E+02,-5.9875E-03,9.5937E-03,1.9100E+01,-1.0007E+01,-6.9794E-02,5.4090E-04,-1.2523E-04,6.2035E-04,1.8604E-02,4.1950E-02,0.0000E+00,4.0000E+00,5.3286E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,4.5900E+02,5.4000E+02,4.5674E-02,-7.2284E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-5.7932E-03,-2.0722E-03,1.4311E-02,2.1407E-02,3.7526E-02,0.0000E+00,4.0000E+00,6.1315E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,4.5900E+02,5.4000E+02,5.7630E-02,-6.8732E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-5.8006E-03,-3.3051E-03,2.1470E-03,1.7932E-02,3.7077E-02,0.0000E+00,4.0000E+00,5.1363E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,4.5900E+02,5.4000E+02,3.0551E-02,-3.0640E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-2.6462E-03,-2.0189E-03,-3.3672E-03,1.8794E-02,4.3264E-02,0.0000E+00,4.0000E+00,5.3832E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,4.5900E+02,5.4000E+02,2.7421E-02,-8.7426E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-2.3284E-03,-4.4480E-03,-3.3523E-03,1.8908E-02,4.0541E-02,0.0000E+00,4.0000E+00,5.4159E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,4.5900E+02,5.4000E+02,4.2331E-02,-7.9848E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-2.2960E-03,-3.6835E-03,-1.9652E-02,1.6971E-02,4.1742E-02,0.0000E+00,4.0000E+00,4.8610E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,4.5900E+02,5.4000E+02,4.1463E-02,-9.8189E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-4.4757E-03,-4.8796E-04,3.7156E-03,1.9064E-02,4.0947E-02,0.0000E+00,4.0000E+00,5.4603E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,4.5900E+02,5.4000E+02,3.4503E-02,-1.0490E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-2.8327E-03,-1.5089E-03,-5.4728E-03,1.8488E-02,4.0652E-02,0.0000E+00,4.0000E+00,5.2955E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,4.5900E+02,5.4000E+02,2.4914E-02,-2.6419E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-2.7678E-03,7.3369E-04,3.1109E-03,1.8901E-02,4.4830E-02,0.0000E+00,4.0000E+00,5.4137E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,4.5900E+02,5.4000E+02,1.2952E-02,-2.5215E-02,1.9100E+01,-1.0007E+01,-6.9794E-02,-1.4380E-03,9.5829E-04,1.3037E-03,1.6279E-02,3.8168E-02,0.0000E+00,4.0000E+00,4.6629E-02,0.0000E+00,0.0000E+00,0.0000E+00
10,4.5900E+02,5.4000E+02,-9.8801E+00,-2.4634E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.5741E-02,5.8017E-01,1.0607E+01,1.9766E-02,4.2600E-02,0.0000E+00,4.0000E+00,5.6614E-02,0.0000E+00,0.0000E+00,0.0000E+00
11,4.5900E+02,5.4000E+02,-9.9448E+00,-2.4859E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.1219E-02,5.7681E-01,1.0624E+01,1.8241E-02,3.8914E-02,0.0000E+00,4.0000E+00,5.2247E-02,0.0000E+00,0.0000E+00,0.0000E+00
12,4.5900E+02,5.4000E+02,-9.9496E+00,-2.4870E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.0535E-02,5.7597E-01,1.0621E+01,2.1239E-02,4.2420E-02,0.0000E+00,4.0000E+00,6.0834E-02,0.0000E+00,0.0000E+00,0.0000E+00
13,4.5900E+02,5.4000E+02,-9.9375E+00,-2.4812E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.1842E-02,5.7909E-01,1.0623E+01,2.0733E-02,3.8862E-02,0.0000E+00,4.0000E+00,5.9385E-02,0.0000E+00,0.0000E+00,0.0000E+00
14,4.5900E+02,5.4000E+02,-9.9237E+00,-2.4868E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.2971E-02,5.7604E-01,1.0621E+01,2.0491E-02,3.9752E-02,0.0000E+00,4.0000E+00,5.8691E-02,0.0000E+00,0.0000E+00,0.0000E+00
15,4.5900E+02,5.4000E+02,-9.9358E+00,-2.4794E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.1714E-02,5.7869E-01,1.0620E+01,2.1316E-02,3.9325E-02,0.0000E+00,4.0000E+00,6.1055E-02,0.0000E+00,0.0000E+00,0.0000E+00
16,4.5900E+02,5.4000E+02,-9.9471E+00,-2.4805E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-7.1184E-02,5.7787E-01,1.0626E+01,1.8750E-02,4.1658E-02,0.0000E+00,4.0000E+00,5.3704E-02,0.0000E+00,0.0000E+00,0.0000E+00
17,4.5900E+02,5.4000E+02,-9.9855E+00,-2.4731E+01,1.9100E+01,-1.0007E+01,-6.9794E-02,-6.6595E-02,5.8061E-01,1.0616E+01,1.9585E-02,4.0607E-02,0.0000E+00,4.0000E+00,5.6097E-02,0.0000E+00,0.0000E+00,0.0000E+00
18,4.5900E+02,5.4000E+02,-3.8002E-02,2.4606E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,6.5878E-03,9.4210E-03,-3.1468E-02,1.8099E-02,3.6784E-02,0.0000E+00,4.0000E+00,5.1840E-02,0.0000E+00,0.0000E+00,0.0000E+00
19,4.5900E+02,5.4000E+02,-6.5944E-02,2.8202E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,7.8119E-03,1.0165E-02,-1.4988E-02,1.7277E-02,3.9855E-02,0.0000E+00,4.0000E+00,4.9487E-02,0.0000E+00,0.0000E+00,0.0000E+00
20,4.5900E+02,5.4000E+02,-9.2877E-02,2.8030E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,9.1329E-03,1.2232E-02,-1.4460E-03,1.8122E-02,3.3121E-02,0.0000E+00,4.0000E+00,5.1906E-02,0.0000E+00,0.0000E+00,0.0000E+00
21,4.5900E+02,5.4000E+02,-7.5824E-02,2.5442E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,9.0366E-03,8.8184E-03,-1.7680E-02,2.0364E-02,3.9192E-02,0.0000E+00,4.0000E+00,5.8328E-02,0.0000E+00,0.0000E+00,0.0000E+00
22,4.5900E+02,5.4000E+02,-8.4725E-02,2.6281E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,9.1182E-03,9.5823E-03,-9.2818E-03,1.8173E-02,3.7333E-02,0.0000E+00,4.0000E+00,5.2052E-02,0.0000E+00,0.0000E+00,0.0000E+00
23,4.5900E+02,5.4000E+02,-7.3769E-02,3.1872E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,8.5778E-03,1.1521E-02,-1.5029E-02,1.8525E-02,3.6458E-02,0.0000E+00,4.0000E+00,5.3062E-02,0.0000E+00,0.0000E+00,0.0000E+00
24,4.5900E+02,5.4000E+02,-5.9240E-02,2.8546E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,8.1760E-03,8.8706E-03,-2.5596E-02,1.8633E-02,3.8812E-02,0.0000E+00,4.0000E+00,5.3370E-02,0.0000E+00,0.0000E+00,0.0000E+00
25,4.5900E+02,5.4000E+02,-5.4207E-02,3.6488E-01,1.9100E+01,-1.0007E+01,-6.9794E-02,7.4604E-03,1.1296E-02,-2.3061E-02,1.8279E-02,3.4056E-02,0.0000E+00,4.0000E+00,5.2357E-02,0.0000E+00,0.0000E+00,0.0000E+00
