Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
16.4021,0,0,0,0,2147483647
16.4021,1.74561,1.57552,1.57518,0.268105,0
16.4021,1.37889,1.33765,1.33745,0.018185,0
16.4021,1.39131,1.32622,1.32601,0.023429,0
16.4021,1.37712,1.32942,1.32922,0.054033,0
16.4021,1.32065,1.27915,1.27899,0.019769,0
16.4021,1.4056,1.34275,1.34251,0.064445,0
16.4021,1.43301,1.40488,1.40468,0.047546,0
16.4021,1.36563,1.28725,1.28707,0.009007,0
16.4021,1.40429,1.34199,1.34178,0.057308,0
16.4021,1.38603,1.33343,1.33319,0.022682,0
16.4021,1.63261,1.53034,1.53011,0.059417,0
16.4021,1.49712,1.45578,1.45528,0.059541,0
16.4021,1.60308,1.56536,1.5652,0.043831,0
16.4021,1.51932,1.47892,1.47875,0.01438,0
16.4021,1.55166,1.47176,1.47149,0.031554,0
16.4021,1.52074,1.46914,1.46895,0.054209,0
16.4021,1.58728,1.54871,1.54852,0.03941,0
16.4021,1.5699,1.51921,1.51873,0.060502,0
16.4021,1.59727,1.56352,1.56332,0.039174,0
16.4021,1.39598,1.34799,1.34783,0.013466,0
16.4021,1.43119,1.36073,1.36051,0.053164,0
16.4021,1.40022,1.36135,1.36118,0.053592,0
16.4021,1.40591,1.36573,1.36556,0.05602,0
16.4021,1.31999,1.28614,1.28597,0.025454,0
16.4021,1.43392,1.36234,1.36214,0.046867,0
16.4021,1.3422,1.27412,1.27392,0.016216,0
16.4021,1.49565,1.41471,1.41451,0.057283,0
16.4021,1.43507,1.39751,1.39723,0.046307,0
16.4021,1.3304,1.28713,1.28696,0.009317,0
16.4021,1.43011,1.33952,1.33934,0.053225,0
16.4021,1.35079,1.31785,1.31768,0.05344,0
16.4021,1.35231,1.32019,1.31999,0.054835,0
16.4021,1.42679,1.38928,1.38907,0.056812,0
16.4021,1.30128,1.26916,1.26895,0.016274,0
16.4021,1.39276,1.32464,1.3244,0.054734,0
16.4021,1.35077,1.29599,1.29581,0.008884,0
16.4021,1.4288,1.33347,1.33326,0.067997,0
16.4021,1.37492,1.33619,1.33597,0.037939,0
16.4021,1.41508,1.35192,1.35172,0.068299,0
16.4021,1.42189,1.38874,1.38859,0.009345,0
16.4021,1.36926,1.32767,1.32736,0.036328,0
16.4021,1.4609,1.41114,1.41089,0.077955,0
16.4021,1.53498,1.48681,1.48655,0.107589,0
16.4021,1.58648,1.55203,1.55185,0.128264,0
16.4021,1.55762,1.5114,1.51122,0.086618,0
16.4021,1.47712,1.43809,1.43784,0.039636,0
16.4021,1.42084,1.36292,1.3627,0.04127,0
16.4021,1.42201,1.38487,1.38468,0.034795,0
16.4021,1.38695,1.34567,1.34547,0.067075,0
16.4021,1.40095,1.35913,1.35883,0.083185,0
16.4021,1.47521,1.42829,1.4281,0.052821,0
16.4021,1.36398,1.32387,1.32365,0.008911,0
