BEGIN SUBSET_COORDINATES
    352 547
    383 547
    414 547
    445 547
    476 547
    507 547
    538 547
    569 547
    352 578
    383 578
    414 578
    445 578
    476 578
    507 578
    538 578
    569 578
    352 609
    383 609
    414 609
    445 609
    476 609
    507 609
    538 609
    569 609
    352 640
    383 640
    414 640
    445 640
    476 640
    507 640
    538 640
    569 640
    352 671
    383 671
    414 671
    445 671
    476 671
    507 671
    538 671
    569 671
    352 702
    383 702
    414 702
    445 702
    476 702
    507 702
    538 702
    569 702
    352 733
    383 733
    414 733
    445 733
    476 733
    507 733
    538 733
    569 733
    352 764
    383 764
    414 764
    445 764
    476 764
    507 764
    538 764
    569 764
    352 795
    383 795
    414 795
    445 795
    476 795
    507 795
    538 795
    569 795
    352 826
    383 826
    414 826
    445 826
    476 826
    507 826
    538 826
    569 826
    352 857
    383 857
    414 857
    445 857
    476 857
    507 857
    538 857
    569 857
    352 888
    383 888
    414 888
    445 888
    476 888
    507 888
    538 888
    569 888
END
