BEGIN SUBSET_COORDINATES
    233 540
    300 560
    350 580
    220 600
    433 540
    400 560
    450 580
    420 600
    233 650
    300 650
    350 680
    220 700
    450 680
    420 700
    450 780
    420 800
    250 780
    220 800
    300 760
    350 780
    220 860
    250 880
    240 860
    260 880
    270 860
    290 880
END
