FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,2.3300E+02,6.5000E+02,3.1267E-03,-1.7691E-02,4.7950E+01,-5.2704E+00,3.2419E-02,6.2057E-04,-2.1227E-03,-7.8788E-03,2.0862E-02,4.8180E-02,0.0000E+00,4.0000E+00,8.2259E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,2.3300E+02,6.5000E+02,5.6848E-01,-9.9659E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-6.7192E-02,-4.5998E-02,1.8199E-02,2.1145E-02,3.8847E-02,0.0000E+00,4.0000E+00,8.3374E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,2.3300E+02,6.5000E+02,5.7226E-01,-9.6753E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-6.8464E-02,-4.3939E-02,2.5099E-02,2.0444E-02,4.0046E-02,0.0000E+00,4.0000E+00,8.0611E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,2.3300E+02,6.5000E+02,5.5184E-01,-9.9732E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-6.2851E-02,-4.7382E-02,-2.2290E-03,2.1639E-02,4.0234E-02,0.0000E+00,4.0000E+00,8.5323E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,2.3300E+02,6.5000E+02,5.6578E-01,-9.5870E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-6.6350E-02,-4.5004E-02,1.3861E-02,2.2654E-02,4.2737E-02,0.0000E+00,4.0000E+00,8.9327E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,2.3300E+02,6.5000E+02,5.5153E-01,-9.7476E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-6.6327E-02,-4.2525E-02,2.6482E-02,1.8228E-02,3.8208E-02,0.0000E+00,4.0000E+00,7.1873E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,2.3300E+02,6.5000E+02,5.6477E-01,-9.7579E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-6.5306E-02,-4.4795E-02,5.4567E-03,2.1389E-02,3.9670E-02,0.0000E+00,4.0000E+00,8.4336E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,2.3300E+02,6.5000E+02,4.3524E-01,-8.7817E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-5.1253E-02,-4.0820E-02,1.2598E-02,2.2420E-02,4.3646E-02,0.0000E+00,4.0000E+00,8.8402E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,2.3300E+02,6.5000E+02,4.1179E-01,-8.2152E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-4.8129E-02,-3.9175E-02,9.1814E-03,2.2539E-02,3.6709E-02,0.0000E+00,4.0000E+00,8.8872E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,2.3300E+02,6.5000E+02,3.9703E-01,-7.9427E-01,4.7950E+01,-5.2704E+00,3.2419E-02,-4.6160E-02,-3.7877E-02,6.7553E-03,2.3154E-02,3.8046E-02,0.0000E+00,4.0000E+00,9.1297E-02,0.0000E+00,0.0000E+00,0.0000E+00
10,2.3300E+02,6.5000E+02,-4.9347E-01,-2.2205E+00,4.7950E+01,-5.2704E+00,3.2419E-02,-3.9911E-02,-1.5600E-02,8.0055E-01,2.0629E-02,3.9606E-02,0.0000E+00,4.0000E+00,8.1341E-02,0.0000E+00,0.0000E+00,0.0000E+00
11,2.3300E+02,6.5000E+02,-4.7827E-01,-2.2396E+00,4.7950E+01,-5.2704E+00,3.2419E-02,-4.1688E-02,-1.8063E-02,8.0154E-01,1.9646E-02,3.9547E-02,0.0000E+00,4.0000E+00,7.7466E-02,0.0000E+00,0.0000E+00,0.0000E+00
