Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
12.1987,0,0,0,0,2147483647
12.1987,1.57731,1.51421,1.51408,0.23772,0
12.1987,1.50431,1.45414,1.45399,0.051014,0
12.1987,1.35687,1.31294,1.31279,0.050829,0
12.1987,1.51653,1.47015,1.47,0.075868,0
12.1987,1.50414,1.46716,1.46702,0.06454,0
12.1987,1.37951,1.33796,1.33779,0.042591,0
12.1987,1.35597,1.3093,1.30913,0.052737,0
12.1987,1.34658,1.30524,1.30509,0.051625,0
12.1987,1.31399,1.27622,1.27607,0.016724,0
12.1987,1.3839,1.3199,1.31974,0.022867,0
12.1987,1.36904,1.29907,1.29889,0.05167,0
12.1987,1.38116,1.30187,1.30168,0.05058,0
12.1987,1.33825,1.30812,1.30797,0.051296,0
12.1987,1.46276,1.40922,1.40903,0.064432,0
12.1987,1.35578,1.32108,1.32091,0.051751,0
12.1987,1.35045,1.31817,1.31802,0.052355,0
12.1987,1.39857,1.35331,1.35316,0.053034,0
12.1987,1.4051,1.35942,1.35926,0.053935,0
12.1987,1.4899,1.44813,1.44797,0.064848,0
12.1987,1.35703,1.31939,1.31924,0.013565,0
12.1987,1.38679,1.3196,1.31943,0.035458,0
12.1987,1.37504,1.30331,1.30312,0.020627,0
12.1987,1.35684,1.29899,1.29881,0.007539,0
12.1987,1.45215,1.36437,1.36421,0.009376,0
12.1987,1.37869,1.30469,1.30454,0.018286,0
12.1987,1.36136,1.25725,1.25708,0.008762,0
12.1987,1.35505,1.28581,1.28529,0.051239,0
12.1987,1.39778,1.35872,1.35856,0.049692,0
12.1987,1.5356,1.46047,1.46032,0.051066,0
12.1987,1.46077,1.4185,1.41825,0.053953,0
12.1987,1.39143,1.34242,1.34226,0.033923,0
12.1987,1.40067,1.33706,1.33691,0.008814,0
12.1987,1.46735,1.37648,1.3763,0.054821,0
12.1987,1.40263,1.366,1.36585,0.056499,0
12.1987,1.45863,1.41472,1.41455,0.037722,0
12.1987,1.48069,1.41912,1.41896,0.051396,0
12.1987,1.52291,1.49669,1.49654,0.10285,0
12.1987,1.54586,1.4855,1.4853,0.077117,0
12.1987,1.4661,1.42831,1.42816,0.055106,0
12.1987,1.49076,1.43872,1.43849,0.064326,0
12.1987,1.52635,1.48997,1.48977,0.056037,0
12.1987,1.51141,1.48395,1.4838,0.052217,0
12.1987,1.47379,1.43754,1.43737,0.06423,0
12.1987,1.40723,1.36874,1.36858,0.020268,0
12.1987,1.46429,1.39702,1.39686,0.053915,0
12.1987,1.35516,1.32254,1.32239,0.007737,0
12.1987,1.45275,1.37079,1.37063,0.055091,0
12.1987,1.48262,1.44235,1.4422,0.060984,0
12.1987,1.46028,1.43215,1.432,0.050125,0
12.1987,1.47169,1.43465,1.43449,0.065322,0
12.1987,1.40261,1.36571,1.3655,0.038187,0
12.1987,1.38742,1.3416,1.34144,0.014433,0
12.1987,1.38254,1.31107,1.31089,0.008024,0
12.1987,1.37832,1.30314,1.30294,0.015129,0
12.1987,1.37454,1.2949,1.29475,0.050784,0
12.1987,1.41404,1.37811,1.37793,0.05887,0
12.1987,1.44535,1.39953,1.39937,0.085281,0
12.1987,1.40818,1.3662,1.36606,0.051019,0
12.1987,1.34918,1.31235,1.31221,0.054814,0
12.1987,1.37172,1.33056,1.33041,0.052372,0
12.1987,1.34644,1.31325,1.31311,0.055404,0
12.1987,1.39584,1.33689,1.3367,0.068968,0
12.1987,1.31878,1.26949,1.26932,0.007185,0
12.1987,1.43479,1.36929,1.36908,0.035666,0
12.1987,1.39885,1.31579,1.31561,0.052262,0
12.1987,1.3803,1.3027,1.30253,0.035594,0
12.1987,1.43254,1.37674,1.37659,0.040067,0
12.1987,1.3348,1.28153,1.28139,0.011124,0
12.1987,1.39479,1.32075,1.3206,0.055908,0
12.1987,1.35813,1.28258,1.28238,0.014615,0
12.1987,1.40231,1.31855,1.31833,0.008023,0
12.1987,1.45951,1.4051,1.40493,0.052672,0
12.1987,1.34757,1.28172,1.28156,0.015485,0
12.1987,1.46506,1.40407,1.40389,0.007858,0
12.1987,1.46117,1.37387,1.37366,0.02254,0
12.1987,1.39986,1.30997,1.3098,0.007583,0
12.1987,1.43521,1.34648,1.34632,0.02779,0
