Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
11.8788,0,0,0,0,2147483647
11.8788,0.86381,0.738063,0.737694,0.085534,1
11.8788,0.787728,0.722078,0.721913,0.087339,1
11.8788,0.719493,0.673935,0.673659,0.051124,1
11.8788,0.730675,0.670672,0.670464,0.027503,1
11.8788,0.906262,0.847401,0.847239,0.197114,1
11.8788,0.789611,0.738316,0.738079,0.048853,1
11.8788,0.698833,0.657297,0.657127,0.010056,1
11.8788,0.836098,0.729228,0.728984,0.075132,1
11.8788,0.816651,0.76682,0.766647,0.088646,1
11.8788,0.807723,0.771497,0.771314,0.103228,1
11.8788,0.633684,0.606392,0.606199,0.005958,1
11.8788,0.710029,0.612557,0.612353,0.027082,1
11.8788,0.669407,0.594104,0.59377,0.006508,1
11.8788,0.717017,0.619657,0.619454,0.024774,1
11.8788,0.68174,0.604694,0.604528,0.003563,1
11.8788,0.761791,0.656938,0.656496,0.06196,1
11.8788,0.752675,0.700344,0.700144,0.056901,1
11.8788,0.722799,0.690473,0.69014,0.064616,1
11.8788,0.664336,0.617617,0.617426,0.019969,1
11.8788,0.691586,0.605172,0.605,0.019456,1
11.8788,0.705134,0.595167,0.595001,0.007249,1
11.8788,0.80056,0.693117,0.692921,0.088375,1
11.8788,0.755646,0.72331,0.723104,0.077898,1
11.8788,0.678424,0.641619,0.641122,0.017168,1
11.8788,0.759985,0.66671,0.666495,0.063645,1
11.8788,0.666052,0.600321,0.600115,0.005046,1
11.8788,0.685569,0.59979,0.59962,0.003935,1
11.8788,0.790426,0.685639,0.68542,0.064524,1
11.8788,0.733676,0.684413,0.684017,0.06377,1
11.8788,0.684663,0.635482,0.635284,0.00835,1
11.8788,0.742413,0.672309,0.672107,0.040569,1
11.8788,0.656481,0.623891,0.623731,0.008781,1
11.8788,0.760384,0.661857,0.661673,0.053742,1
11.8788,0.71907,0.667606,0.66744,0.055353,1
11.8788,0.693968,0.657527,0.657327,0.049884,1
11.8788,0.753228,0.678538,0.677604,0.061145,1
11.8788,0.737241,0.70994,0.709776,0.065273,1
11.8788,0.664518,0.62676,0.626523,0.010605,1
11.8788,0.77367,0.69384,0.693672,0.054832,1
11.8788,0.759081,0.692857,0.692607,0.056482,1
11.8788,0.704429,0.673533,0.673352,0.03167,1
11.8788,0.717101,0.648576,0.648411,0.046851,1
11.8788,0.705741,0.635008,0.634804,0.034082,1
11.8788,0.766865,0.692965,0.69279,0.047402,1
11.8788,0.761001,0.666209,0.665775,0.045317,1
11.8788,0.742363,0.687935,0.687767,0.067245,1
