FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.8800E+02,7.4300E+02,8.7366E-03,-5.7801E-02,1.8608E+01,2.0368E-01,-1.1188E-01,-1.2839E-03,1.9669E-03,2.6783E-03,7.2304E-02,7.3031E-02,0.0000E+00,4.0000E+00,1.2384E-01,-1.2240E-05,6.2529E-05,1.8677E-05
1,4.8800E+02,7.4300E+02,-4.5188E-03,2.8155E-01,1.8608E+01,2.0368E-01,-1.1188E-01,1.1952E-03,1.0704E-02,-8.2528E-03,5.4956E-02,6.3697E-02,0.0000E+00,4.0000E+00,9.4123E-02,1.5422E-05,5.1020E-05,6.5174E-05
2,4.8800E+02,7.4300E+02,-5.0808E-02,-1.1327E-02,1.8608E+01,2.0368E-01,-1.1188E-01,1.8427E-03,1.1592E-02,4.8147E-02,5.6811E-02,6.2773E-02,0.0000E+00,4.0000E+00,9.7301E-02,3.7064E-05,-5.9207E-05,7.7323E-05
3,4.8800E+02,7.4300E+02,-2.8182E-02,1.5405E-01,1.8608E+01,2.0368E-01,-1.1188E-01,1.5954E-03,1.4776E-02,1.8821E-02,5.5937E-02,6.2184E-02,0.0000E+00,4.0000E+00,9.5803E-02,1.3285E-04,-3.0639E-07,-2.5944E-05
4,4.8800E+02,7.4300E+02,-7.3125E-02,1.5520E-01,1.8608E+01,2.0368E-01,-1.1188E-01,5.5269E-03,1.5187E-02,3.3346E-02,5.8091E-02,5.7932E-02,0.0000E+00,4.0000E+00,9.9492E-02,1.0679E-04,-1.7016E-04,-5.8439E-06
5,4.8800E+02,7.4300E+02,-3.9529E-02,1.0184E-01,1.8608E+01,2.0368E-01,-1.1188E-01,1.2248E-03,2.0520E-02,3.8482E-02,6.0415E-02,7.6932E-02,0.0000E+00,4.0000E+00,1.0347E-01,-7.4900E-05,8.4064E-05,9.2641E-05
6,4.8800E+02,7.4300E+02,-7.8178E-02,1.5592E-01,1.8608E+01,2.0368E-01,-1.1188E-01,2.1726E-03,2.0749E-02,8.4935E-02,8.3863E-02,7.1364E-02,0.0000E+00,4.0000E+00,1.4363E-01,1.1131E-04,-1.4486E-07,2.8067E-05
7,4.8800E+02,7.4300E+02,-7.0023E-02,1.3876E-01,1.8608E+01,2.0368E-01,-1.1188E-01,5.9763E-03,1.3529E-02,2.2783E-02,6.7847E-02,6.3121E-02,0.0000E+00,4.0000E+00,1.1620E-01,1.6448E-04,-5.8207E-05,8.8826E-05
8,4.8800E+02,7.4300E+02,-1.0082E-01,1.2898E-01,1.8608E+01,2.0368E-01,-1.1188E-01,6.3479E-03,1.7816E-02,6.2924E-02,6.4681E-02,5.6760E-02,0.0000E+00,4.0000E+00,1.1078E-01,4.3794E-05,-1.2995E-04,3.9669E-05
9,4.8800E+02,7.4300E+02,-1.0192E-01,1.8275E-01,1.8608E+01,2.0368E-01,-1.1188E-01,5.5240E-03,2.1949E-02,7.5360E-02,7.1665E-02,6.3292E-02,0.0000E+00,4.0000E+00,1.2274E-01,7.0656E-05,2.8941E-05,-5.7733E-05
10,4.8800E+02,7.4300E+02,-2.8954E-02,3.0502E-01,1.8608E+01,2.0368E-01,-1.1188E-01,-1.0608E-03,2.5047E-02,5.5334E-02,6.5438E-02,6.8614E-02,0.0000E+00,4.0000E+00,1.1207E-01,1.1405E-04,7.8421E-05,2.2440E-05
11,4.8800E+02,7.4300E+02,-5.1519E-02,2.3400E-01,1.8608E+01,2.0368E-01,-1.1188E-01,9.0062E-04,2.1029E-02,6.2986E-02,6.7410E-02,5.9276E-02,0.0000E+00,4.0000E+00,1.1545E-01,1.1632E-04,4.6513E-05,-7.5578E-05
