FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0300E+02,6.2300E+02,-1.2090E-02,1.2916E-02,1.6940E+01,-6.5820E+00,2.5168E-02,3.9644E-04,-1.4593E-03,1.4325E-02,4.9527E-02,4.8941E-02,0.0000E+00,4.0000E+00,8.2673E-02,1.5837E-04,1.7118E-04,1.3351E-04
1,5.0300E+02,6.2300E+02,-6.2934E-02,1.3045E-01,1.6940E+01,-6.5820E+00,2.5168E-02,6.2987E-03,9.3634E-03,9.4597E-03,6.0063E-02,4.4475E-02,0.0000E+00,4.0000E+00,1.0026E-01,3.0990E-06,1.4429E-04,6.8089E-05
2,5.0300E+02,6.2300E+02,-1.0013E-01,1.8057E-01,1.6940E+01,-6.5820E+00,2.5168E-02,8.7404E-03,1.5678E-02,3.2639E-02,5.2875E-02,3.8121E-02,0.0000E+00,4.0000E+00,8.8261E-02,-4.5560E-05,6.9380E-05,-3.4985E-05
3,5.0300E+02,6.2300E+02,-1.1399E-01,3.0289E-01,1.6940E+01,-6.5820E+00,2.5168E-02,9.0560E-03,2.0240E-02,5.0833E-02,5.4341E-02,3.6031E-02,0.0000E+00,4.0000E+00,9.0708E-02,7.3409E-05,1.0007E-04,5.9436E-05
4,5.0300E+02,6.2300E+02,-3.0590E-02,1.0814E-01,1.6940E+01,-6.5820E+00,2.5168E-02,2.7787E-03,7.8069E-03,8.3422E-03,5.5457E-02,4.5865E-02,0.0000E+00,4.0000E+00,9.2571E-02,6.1092E-05,1.0609E-04,-3.2064E-05
5,5.0300E+02,6.2300E+02,-1.3522E-01,2.6088E-01,1.6940E+01,-6.5820E+00,2.5168E-02,1.2538E-02,2.2446E-02,3.3463E-02,5.6595E-02,4.2048E-02,0.0000E+00,4.0000E+00,9.4470E-02,2.6795E-05,2.0208E-04,7.3542E-05
6,5.0300E+02,6.2300E+02,-1.4298E-01,3.3235E-01,1.6940E+01,-6.5820E+00,2.5168E-02,1.1980E-02,2.2419E-02,5.5035E-02,5.7393E-02,3.9745E-02,0.0000E+00,4.0000E+00,9.5803E-02,7.1769E-05,7.8174E-05,1.5240E-04
7,5.0300E+02,6.2300E+02,-1.2273E-01,3.3606E-01,1.6940E+01,-6.5820E+00,2.5168E-02,1.0823E-02,2.1372E-02,3.9705E-02,4.6540E-02,3.7857E-02,0.0000E+00,4.0000E+00,7.7687E-02,-7.4374E-06,1.2117E-04,-3.7613E-05
8,5.0300E+02,6.2300E+02,-1.2621E-01,4.6131E-01,1.6940E+01,-6.5820E+00,2.5168E-02,9.5532E-03,2.9112E-02,6.3028E-02,5.6168E-02,3.8966E-02,0.0000E+00,4.0000E+00,9.3758E-02,-4.3583E-06,1.0147E-05,1.5329E-04
9,5.0300E+02,6.2300E+02,-1.4964E-01,2.6445E-01,1.6940E+01,-6.5820E+00,2.5168E-02,1.2845E-02,2.2528E-02,5.2086E-02,4.8017E-02,4.0842E-02,0.0000E+00,4.0000E+00,8.0153E-02,1.1460E-04,8.3576E-05,8.7991E-05
10,5.0300E+02,6.2300E+02,-1.1671E-01,3.5470E-01,1.6940E+01,-6.5820E+00,2.5168E-02,8.8804E-03,2.3317E-02,5.7557E-02,5.1496E-02,4.2932E-02,0.0000E+00,4.0000E+00,8.5960E-02,6.5130E-05,-1.4140E-05,1.5510E-05
11,5.0300E+02,6.2300E+02,-1.3968E-01,4.0989E-01,1.6940E+01,-6.5820E+00,2.5168E-02,9.1266E-03,2.7168E-02,9.0364E-02,4.9877E-02,3.4248E-02,0.0000E+00,4.0000E+00,8.3257E-02,7.1912E-05,1.5103E-04,4.0601E-05
12,5.0300E+02,6.2300E+02,-1.5660E-01,3.1667E-01,1.6940E+01,-6.5820E+00,2.5168E-02,1.0685E-02,2.7254E-02,9.3393E-02,4.7361E-02,4.3214E-02,0.0000E+00,4.0000E+00,7.9057E-02,1.0547E-04,-3.1816E-05,4.1766E-05
13,5.0300E+02,6.2300E+02,-1.4427E-01,4.2851E-01,1.6940E+01,-6.5820E+00,2.5168E-02,9.5453E-03,2.3187E-02,9.3412E-02,4.4757E-02,4.3747E-02,0.0000E+00,4.0000E+00,7.4710E-02,-2.5302E-05,1.7837E-04,1.0851E-05
14,5.0300E+02,6.2300E+02,-1.3522E-01,4.1127E-01,1.6940E+01,-6.5820E+00,2.5168E-02,9.7968E-03,2.8824E-02,7.3131E-02,5.6332E-02,4.0194E-02,0.0000E+00,4.0000E+00,9.4032E-02,1.8200E-04,2.1018E-04,3.7969E-05
15,5.0300E+02,6.2300E+02,-1.4193E-01,4.5782E-01,1.6940E+01,-6.5820E+00,2.5168E-02,1.1986E-02,2.9950E-02,5.2958E-02,5.4242E-02,4.7714E-02,0.0000E+00,4.0000E+00,9.0544E-02,1.0826E-04,5.7599E-05,5.8352E-05
16,5.0300E+02,6.2300E+02,-7.9091E-02,2.7961E-01,1.6940E+01,-6.5820E+00,2.5168E-02,5.4460E-03,2.3222E-02,4.5426E-02,5.4888E-02,4.5039E-02,0.0000E+00,4.0000E+00,9.1621E-02,2.7684E-05,1.0333E-04,-3.8332E-05
17,5.0300E+02,6.2300E+02,-6.8548E-02,3.2441E-01,1.6940E+01,-6.5820E+00,2.5168E-02,4.3508E-03,2.2476E-02,4.5284E-02,4.7744E-02,3.9915E-02,0.0000E+00,4.0000E+00,7.9696E-02,1.3760E-04,1.9804E-04,1.4580E-04
18,5.0300E+02,6.2300E+02,-5.4259E-01,-3.4147E-01,1.6940E+01,-6.5820E+00,2.5168E-02,2.0183E-02,4.4035E-02,5.5550E-01,3.9724E-02,3.3787E-02,0.0000E+00,4.0000E+00,6.6310E-02,6.4895E-05,2.5882E-04,-4.6420E-05
19,5.0300E+02,6.2300E+02,-1.2130E+00,-2.1920E+00,1.6940E+01,-6.5820E+00,2.5168E-02,2.2728E-02,5.3379E-02,1.5488E+00,4.8597E-02,4.3386E-02,0.0000E+00,4.0000E+00,8.1120E-02,-2.3201E-06,1.1295E-04,4.6312E-05
20,5.0300E+02,6.2300E+02,-1.8456E+00,-3.6106E+00,1.6940E+01,-6.5820E+00,2.5168E-02,3.0988E-02,7.2583E-02,2.4014E+00,4.2022E-02,3.3765E-02,0.0000E+00,4.0000E+00,7.0145E-02,3.9574E-05,6.8163E-05,-1.9132E-05
21,5.0300E+02,6.2300E+02,-2.4386E+00,-5.0971E+00,1.6940E+01,-6.5820E+00,2.5168E-02,4.3730E-02,8.2835E-02,3.1268E+00,4.3882E-02,3.5357E-02,0.0000E+00,4.0000E+00,7.3250E-02,-1.6693E-04,1.3768E-04,-7.0415E-05
22,5.0300E+02,6.2300E+02,-3.0787E+00,-6.7534E+00,1.6940E+01,-6.5820E+00,2.5168E-02,4.4088E-02,1.0026E-01,4.0937E+00,3.7919E-02,3.7407E-02,0.0000E+00,4.0000E+00,6.3297E-02,-1.5892E-04,-1.9866E-04,-1.3824E-04
