Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
13.6848,0,0,0,0,2147483647
13.6848,2.20883,2.07466,2.07453,0.392824,0
13.6848,1.74582,1.71359,1.71343,0.065577,0
13.6848,1.56548,1.52238,1.52223,0.062883,0
13.6848,1.64852,1.58481,1.58465,0.075755,0
13.6848,1.67811,1.63489,1.63475,0.091149,0
13.6848,1.55383,1.50799,1.50784,0.062415,0
13.6848,1.61976,1.5803,1.5801,0.071138,0
13.6848,1.55764,1.51713,1.51696,0.067191,0
13.6848,1.52825,1.4936,1.49344,0.063133,0
13.6848,1.64198,1.60461,1.60446,0.071334,0
13.6848,1.7074,1.6713,1.67093,0.075934,0
13.6848,1.63336,1.60005,1.5999,0.063117,0
13.6848,1.509,1.48042,1.48027,0.05057,0
13.6848,1.62614,1.56377,1.56361,0.059733,0
13.6848,1.53963,1.50826,1.50811,0.054379,0
13.6848,1.606,1.53703,1.53687,0.065119,0
13.6848,1.62086,1.58337,1.58321,0.068652,0
13.6848,1.65261,1.61849,1.61832,0.067533,0
13.6848,1.63506,1.60089,1.60073,0.072047,0
13.6848,1.60537,1.57088,1.57069,0.068233,0
13.6848,1.64204,1.59962,1.5994,0.022081,0
13.6848,1.74552,1.68986,1.6897,0.02259,0
13.6848,1.66926,1.62013,1.61995,0.027931,0
13.6848,1.63123,1.5887,1.58853,0.05456,0
13.6848,1.54481,1.507,1.50683,0.02243,0
13.6848,1.70928,1.64604,1.64584,0.07545,0
13.6848,1.72569,1.68128,1.68106,0.065453,0
13.6848,1.65931,1.62082,1.62063,0.114953,0
13.6848,1.72297,1.68912,1.68898,0.06247,0
13.6848,1.92851,1.8926,1.89241,0.104327,0
13.6848,1.83625,1.80331,1.80311,0.081488,0
13.6848,1.80414,1.77583,1.77568,0.120531,0
13.6848,1.69311,1.65474,1.65458,0.048929,0
13.6848,1.66218,1.61654,1.61638,0.065192,0
13.6848,1.68079,1.64353,1.64143,0.047163,0
13.6848,1.62855,1.57756,1.57732,0.039135,0
13.6848,1.77516,1.72356,1.72335,0.026507,0
13.6848,1.93873,1.89204,1.89185,0.085859,0
13.6848,1.73162,1.6969,1.69672,0.131293,0
13.6848,1.61916,1.57702,1.57687,0.067193,0
13.6848,1.65459,1.607,1.60683,0.067715,0
13.6848,1.59105,1.55159,1.55134,0.058216,0
13.6848,1.61075,1.57234,1.57218,0.067777,0
13.6848,1.77764,1.72388,1.72368,0.028682,0
13.6848,1.59088,1.50353,1.50337,0.042665,0
13.6848,1.70343,1.66042,1.66008,0.115667,0
13.6848,1.55914,1.52051,1.52017,0.065534,0
13.6848,1.71674,1.6762,1.67603,0.137614,0
13.6848,1.57917,1.53026,1.53006,0.068881,0
13.6848,1.68165,1.63719,1.63699,0.073567,0
13.6848,1.57515,1.527,1.52685,0.065287,0
13.6848,1.6848,1.63387,1.63373,0.106893,0
13.6848,1.7275,1.68028,1.68011,0.03837,0
13.6848,1.54239,1.50097,1.50078,0.059324,0
13.6848,1.54473,1.50207,1.5019,0.069472,0
13.6848,1.56015,1.51659,1.51642,0.069239,0
13.6848,1.74176,1.69246,1.69225,0.071235,0
13.6848,1.73683,1.68761,1.68737,0.082823,0
13.6848,1.75479,1.71081,1.71062,0.095589,0
13.6848,1.58887,1.55041,1.55025,0.084054,0
13.6848,1.75687,1.71091,1.71075,0.088642,0
13.6848,1.6554,1.60837,1.60822,0.07137,0
13.6848,1.55819,1.52228,1.52213,0.066567,0
13.6848,1.58665,1.53454,1.53437,0.064404,0
