FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.3300E+02,8.0300E+02,-3.0886E-02,1.6910E-01,1.3578E+01,3.6261E+00,2.0139E-01,2.3186E-03,5.8932E-03,1.8378E-02,6.9292E-02,6.2860E-02,0.0000E+00,4.0000E+00,9.3429E-02,-4.9497E-06,4.0750E-04,1.0666E-04
1,5.3300E+02,8.0300E+02,-8.0733E-02,3.2926E-01,1.3578E+01,3.6261E+00,2.0139E-01,5.7182E-03,1.6302E-02,5.1060E-02,6.5770E-02,5.4185E-02,0.0000E+00,4.0000E+00,8.8681E-02,-1.2478E-05,1.4886E-04,6.2521E-05
2,5.3300E+02,8.0300E+02,-9.7376E-02,3.8520E-01,1.3578E+01,3.6261E+00,2.0139E-01,7.9626E-03,2.0462E-02,4.4451E-02,7.2312E-02,5.8796E-02,0.0000E+00,4.0000E+00,9.7502E-02,1.2513E-05,1.6336E-04,4.5349E-05
3,5.3300E+02,8.0300E+02,-5.2059E-02,3.7354E-01,1.3578E+01,3.6261E+00,2.0139E-01,3.6712E-03,2.1174E-02,3.2543E-02,6.7396E-02,4.7783E-02,0.0000E+00,4.0000E+00,9.0872E-02,-4.0421E-05,6.1330E-05,4.6340E-05
4,5.3300E+02,8.0300E+02,-6.9348E-02,4.3087E-01,1.3578E+01,3.6261E+00,2.0139E-01,4.4375E-03,2.4071E-02,5.0591E-02,6.4240E-02,4.7606E-02,0.0000E+00,4.0000E+00,8.6617E-02,1.0205E-05,1.5982E-04,-4.8978E-05
5,5.3300E+02,8.0300E+02,-7.1705E-02,3.1587E-01,1.3578E+01,3.6261E+00,2.0139E-01,6.1843E-03,1.7279E-02,2.7569E-02,6.3373E-02,4.5981E-02,0.0000E+00,4.0000E+00,8.5449E-02,5.9779E-05,2.3701E-04,7.4675E-05
6,5.3300E+02,8.0300E+02,-5.1802E-02,2.6985E-01,1.3578E+01,3.6261E+00,2.0139E-01,2.3409E-03,1.6121E-02,5.2674E-02,4.7973E-02,5.2142E-02,0.0000E+00,4.0000E+00,6.4685E-02,-5.7876E-05,-2.4629E-04,-1.0954E-04
7,5.3300E+02,8.0300E+02,-1.3327E-01,2.5598E-01,1.3578E+01,3.6261E+00,2.0139E-01,9.2529E-03,2.1848E-02,8.3658E-02,6.1856E-02,4.6660E-02,0.0000E+00,4.0000E+00,8.3403E-02,-1.2081E-04,1.3794E-04,6.0699E-05
8,5.3300E+02,8.0300E+02,-9.1301E-02,3.1433E-01,1.3578E+01,3.6261E+00,2.0139E-01,6.0434E-03,2.3342E-02,6.1668E-02,6.8371E-02,4.3918E-02,0.0000E+00,4.0000E+00,9.2187E-02,-9.9764E-05,-7.8593E-08,3.5328E-05
9,5.3300E+02,8.0300E+02,-1.0591E-01,3.8410E-01,1.3578E+01,3.6261E+00,2.0139E-01,8.2142E-03,2.3346E-02,5.4322E-02,7.6172E-02,6.5796E-02,0.0000E+00,4.0000E+00,1.0271E-01,-7.9493E-05,7.4828E-05,1.3348E-04
10,5.3300E+02,8.0300E+02,-7.6737E-02,4.5389E-01,1.3578E+01,3.6261E+00,2.0139E-01,4.7651E-03,2.6264E-02,5.7957E-02,5.9581E-02,4.7352E-02,0.0000E+00,4.0000E+00,8.0335E-02,-3.1953E-06,2.0804E-04,1.3353E-04
11,5.3300E+02,8.0300E+02,-6.3950E-02,2.3518E-01,1.3578E+01,3.6261E+00,2.0139E-01,2.6415E-03,2.2804E-02,6.6212E-02,6.8804E-02,5.3702E-02,0.0000E+00,4.0000E+00,9.2772E-02,-8.5403E-05,-1.5077E-04,2.6639E-05
12,5.3300E+02,8.0300E+02,-4.4913E-02,4.3053E-01,1.3578E+01,3.6261E+00,2.0139E-01,2.4608E-03,2.5613E-02,3.8627E-02,5.8389E-02,5.2986E-02,0.0000E+00,4.0000E+00,7.8728E-02,1.1399E-04,-2.8213E-05,4.8594E-05
13,5.3300E+02,8.0300E+02,-3.7164E-02,4.7946E-01,1.3578E+01,3.6261E+00,2.0139E-01,2.2092E-03,2.3956E-02,3.0579E-02,6.0962E-02,4.9627E-02,0.0000E+00,4.0000E+00,8.2198E-02,7.7806E-05,1.3271E-04,-7.6924E-06
14,5.3300E+02,8.0300E+02,-7.5911E-02,3.3314E-01,1.3578E+01,3.6261E+00,2.0139E-01,4.4097E-03,2.1714E-02,6.1402E-02,5.6736E-02,6.8141E-02,0.0000E+00,4.0000E+00,7.6500E-02,-6.3916E-05,-4.7774E-05,8.7854E-05
15,5.3300E+02,8.0300E+02,-3.0862E-02,3.5293E-01,1.3578E+01,3.6261E+00,2.0139E-01,7.2280E-04,2.4416E-02,4.0446E-02,4.8353E-02,5.4161E-02,0.0000E+00,4.0000E+00,6.5196E-02,2.4085E-05,-2.8049E-05,1.3277E-05
16,5.3300E+02,8.0300E+02,-8.6449E-02,6.1797E-01,1.3578E+01,3.6261E+00,2.0139E-01,4.3516E-03,3.6943E-02,8.0655E-02,6.0380E-02,5.0766E-02,0.0000E+00,4.0000E+00,8.1413E-02,-7.9136E-05,4.6717E-04,-4.4957E-05
17,5.3300E+02,8.0300E+02,-4.3864E-02,3.4734E-01,1.3578E+01,3.6261E+00,2.0139E-01,2.7794E-03,2.0780E-02,3.1936E-02,5.3662E-02,4.7760E-02,0.0000E+00,4.0000E+00,7.2355E-02,9.2260E-06,-2.4098E-05,-1.8631E-05
18,5.3300E+02,8.0300E+02,-4.7655E-01,-1.6816E-01,1.3578E+01,3.6261E+00,2.0139E-01,1.5489E-02,4.4155E-02,5.6492E-01,6.4213E-02,4.6495E-02,0.0000E+00,4.0000E+00,8.6581E-02,-3.9826E-05,2.4079E-06,-8.8839E-05
19,5.3300E+02,8.0300E+02,-1.0843E+00,-1.7313E+00,1.3578E+01,3.6261E+00,2.0139E-01,1.7805E-02,5.2636E-02,1.5457E+00,4.6158E-02,5.6164E-02,0.0000E+00,4.0000E+00,6.2237E-02,-1.0124E-05,2.7243E-04,-1.7752E-04
20,5.3300E+02,8.0300E+02,-1.6662E+00,-2.6646E+00,1.3578E+01,3.6261E+00,2.0139E-01,2.7991E-02,7.5353E-02,2.3628E+00,7.9870E-02,4.5542E-02,0.0000E+00,4.0000E+00,1.0769E-01,6.4579E-05,5.1729E-04,-9.2482E-05
21,5.3300E+02,8.0300E+02,-2.1800E+00,-3.7555E+00,1.3578E+01,3.6261E+00,2.0139E-01,3.5148E-02,9.2228E-02,3.1065E+00,7.9802E-02,4.9515E-02,0.0000E+00,4.0000E+00,1.0760E-01,-2.9402E-05,6.7564E-04,-1.6550E-04
22,5.3300E+02,8.0300E+02,-2.7551E+00,-5.0606E+00,1.3578E+01,3.6261E+00,2.0139E-01,3.5414E-02,1.1020E-01,4.0548E+00,6.0082E-02,5.7902E-02,0.0000E+00,4.0000E+00,8.1011E-02,2.5373E-04,8.4399E-04,-1.4289E-04
23,5.3300E+02,8.0300E+02,-3.3898E+00,-6.2975E+00,1.3578E+01,3.6261E+00,2.0139E-01,4.8456E-02,1.2561E-01,4.9055E+00,4.9003E-02,5.6743E-02,0.0000E+00,4.0000E+00,6.6072E-02,2.0354E-04,8.0724E-04,8.1120E-05
24,5.3300E+02,8.0300E+02,-4.0394E+00,-7.3960E+00,1.3578E+01,3.6261E+00,2.0139E-01,6.0487E-02,1.4446E-01,5.7946E+00,6.3766E-02,4.8748E-02,0.0000E+00,4.0000E+00,8.5978E-02,4.8928E-05,8.6421E-04,2.7356E-05
25,5.3300E+02,8.0300E+02,-4.6798E+00,-8.7939E+00,1.3578E+01,3.6261E+00,2.0139E-01,7.2917E-02,1.5396E-01,6.6564E+00,6.8141E-02,4.8538E-02,0.0000E+00,4.0000E+00,9.1877E-02,3.4779E-05,1.0722E-03,1.1467E-04
26,5.3300E+02,8.0300E+02,-5.2189E+00,-9.8727E+00,1.3578E+01,3.6261E+00,2.0139E-01,7.9167E-02,1.7142E-01,7.4426E+00,5.6344E-02,6.7282E-02,0.0000E+00,4.0000E+00,7.5971E-02,2.5686E-04,1.4392E-03,1.2324E-04
27,5.3300E+02,8.0300E+02,-5.7474E+00,-1.1305E+01,1.3578E+01,3.6261E+00,2.0139E-01,7.7996E-02,1.7991E-01,8.3187E+00,4.7296E-02,3.7693E-02,0.0000E+00,4.0000E+00,6.3771E-02,2.9693E-04,8.3552E-04,1.0177E-04
28,5.3300E+02,8.0300E+02,-6.5604E+00,-1.2433E+01,1.3578E+01,3.6261E+00,2.0139E-01,1.0334E-01,2.0775E-01,9.2597E+00,5.2931E-02,4.1856E-02,0.0000E+00,4.0000E+00,7.1369E-02,4.5624E-04,1.1583E-03,3.7329E-04
29,5.3300E+02,8.0300E+02,-7.1719E+00,-1.3798E+01,1.3578E+01,3.6261E+00,2.0139E-01,1.0768E-01,2.2376E-01,1.0181E+01,5.2484E-02,5.8098E-02,0.0000E+00,4.0000E+00,7.0766E-02,4.6597E-04,1.3726E-03,2.4360E-04
30,5.3300E+02,8.0300E+02,-6.9775E+00,-1.3181E+01,1.3578E+01,3.6261E+00,2.0139E-01,1.1558E-01,2.1444E-01,9.7517E+00,5.7278E-02,4.9453E-02,0.0000E+00,4.0000E+00,7.7231E-02,5.3451E-04,1.2418E-03,1.1969E-04
31,5.3300E+02,8.0300E+02,-6.3440E+00,-1.1915E+01,1.3578E+01,3.6261E+00,2.0139E-01,1.0250E-01,2.0280E-01,8.9223E+00,5.3432E-02,4.7162E-02,0.0000E+00,4.0000E+00,7.2044E-02,5.9139E-04,1.2590E-03,4.2542E-04
32,5.3300E+02,8.0300E+02,-5.7228E+00,-1.0681E+01,1.3578E+01,3.6261E+00,2.0139E-01,1.0057E-01,1.8245E-01,7.9417E+00,5.7644E-02,4.8715E-02,0.0000E+00,4.0000E+00,7.7724E-02,2.1525E-04,1.5458E-03,1.1239E-04
33,5.3300E+02,8.0300E+02,-5.0068E+00,-9.4903E+00,1.3578E+01,3.6261E+00,2.0139E-01,8.3436E-02,1.6347E-01,7.0302E+00,5.6141E-02,4.8031E-02,0.0000E+00,4.0000E+00,7.5697E-02,9.9777E-05,1.0674E-03,-1.8442E-05
34,5.3300E+02,8.0300E+02,-4.2475E+00,-7.7630E+00,1.3578E+01,3.6261E+00,2.0139E-01,6.3584E-02,1.5528E-01,6.0887E+00,6.8696E-02,5.1325E-02,0.0000E+00,4.0000E+00,9.2626E-02,6.9605E-05,1.0783E-03,-2.1469E-05
