FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.8800E+02,6.9800E+02,1.0704E-02,-5.4254E-02,1.8615E+01,-2.3483E+00,-1.3557E-01,-7.8878E-04,-1.7731E-03,-5.8431E-03,3.5129E-02,3.2420E-02,0.0000E+00,4.0000E+00,6.0356E-02,-5.1562E-05,1.2471E-04,-1.0129E-04
1,4.8800E+02,6.9800E+02,3.4099E-03,2.4160E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.2805E-03,9.5828E-03,-2.1781E-02,2.9772E-02,3.0864E-02,0.0000E+00,4.0000E+00,5.1152E-02,3.1179E-07,7.0357E-06,-1.6159E-04
2,4.8800E+02,6.9800E+02,-6.1326E-02,2.8748E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,3.7696E-03,1.4605E-02,4.1919E-02,3.3822E-02,3.6225E-02,0.0000E+00,4.0000E+00,5.8110E-02,5.1216E-05,1.3282E-05,-1.3626E-04
3,4.8800E+02,6.9800E+02,-2.4344E-02,2.6824E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.1327E-03,1.7618E-02,2.0303E-02,3.4077E-02,3.3907E-02,0.0000E+00,4.0000E+00,5.8548E-02,-1.5958E-05,2.7361E-05,-2.1903E-04
4,4.8800E+02,6.9800E+02,-9.8449E-02,3.7193E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,4.9995E-03,2.2386E-02,8.0498E-02,3.4332E-02,3.5030E-02,0.0000E+00,4.0000E+00,5.8987E-02,-3.0865E-05,9.5336E-05,-1.9599E-04
5,4.8800E+02,6.9800E+02,-4.0408E-02,2.2564E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,4.2024E-03,1.5662E-02,2.7940E-03,4.2049E-02,4.1262E-02,0.0000E+00,4.0000E+00,7.2245E-02,-1.0479E-04,5.9618E-05,-1.8623E-04
6,4.8800E+02,6.9800E+02,-4.1130E-02,3.0965E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,3.0991E-03,1.9072E-02,1.9224E-02,3.5204E-02,3.7200E-02,0.0000E+00,4.0000E+00,6.0484E-02,2.1788E-05,2.8667E-05,-9.4109E-05
7,4.8800E+02,6.9800E+02,-1.1963E-01,3.7163E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,9.1938E-03,2.3808E-02,5.4981E-02,3.5916E-02,3.2549E-02,0.0000E+00,4.0000E+00,6.1708E-02,7.7473E-05,1.2664E-04,-5.9379E-05
8,4.8800E+02,6.9800E+02,-1.2852E-01,3.6306E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,8.0017E-03,2.3675E-02,8.4693E-02,3.3545E-02,3.5032E-02,0.0000E+00,4.0000E+00,5.7635E-02,-5.7499E-05,2.5260E-05,-6.9230E-05
9,4.8800E+02,6.9800E+02,-7.2379E-02,3.2446E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,5.6683E-03,2.0036E-02,3.1645E-02,3.1898E-02,3.4355E-02,0.0000E+00,4.0000E+00,5.4805E-02,1.0886E-05,8.7827E-05,-1.9904E-04
10,4.8800E+02,6.9800E+02,-8.5630E-02,3.3923E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,4.7282E-03,2.5445E-02,6.3122E-02,3.6596E-02,3.3633E-02,0.0000E+00,4.0000E+00,6.2877E-02,2.7886E-05,-2.3539E-05,-1.4549E-04
11,4.8800E+02,6.9800E+02,-2.9954E-02,2.9799E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,-1.3749E-04,2.0180E-02,4.5839E-02,3.6692E-02,3.1854E-02,0.0000E+00,4.0000E+00,6.3041E-02,6.1379E-05,-4.4742E-05,-1.3430E-04
12,4.8800E+02,6.9800E+02,-2.8426E-02,3.9354E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,-2.1288E-04,2.5780E-02,4.4303E-02,2.6371E-02,3.0547E-02,0.0000E+00,4.0000E+00,4.5308E-02,-9.7515E-05,8.4011E-05,-2.0531E-04
13,4.8800E+02,6.9800E+02,-6.0026E-02,3.1749E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,4.3170E-03,1.8311E-02,3.1740E-02,4.0135E-02,3.4699E-02,0.0000E+00,4.0000E+00,6.8958E-02,-1.0768E-04,6.7475E-05,-1.5795E-04
14,4.8800E+02,6.9800E+02,-1.0557E-01,4.5361E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,5.7631E-03,3.0216E-02,7.9690E-02,3.2472E-02,2.8689E-02,0.0000E+00,4.0000E+00,5.5791E-02,-9.1682E-05,-5.4916E-05,-1.4002E-04
15,4.8800E+02,6.9800E+02,-5.7509E-04,2.3438E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,-1.3454E-03,1.7950E-02,1.7295E-02,3.3917E-02,3.5631E-02,0.0000E+00,4.0000E+00,5.8275E-02,-1.9196E-04,-1.0630E-04,-2.2387E-04
16,4.8800E+02,6.9800E+02,-7.8374E-03,3.0177E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,7.0802E-05,1.9090E-02,9.7554E-03,3.8711E-02,3.0705E-02,0.0000E+00,4.0000E+00,6.6511E-02,-2.8770E-05,3.5591E-05,-1.5497E-04
17,4.8800E+02,6.9800E+02,6.1250E-03,3.4768E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,-2.4027E-03,2.2558E-02,2.1901E-02,3.6277E-02,3.4143E-02,0.0000E+00,4.0000E+00,6.2329E-02,-8.8250E-05,-5.0440E-05,-1.5928E-04
18,4.8800E+02,6.9800E+02,-5.3997E-01,-2.4405E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.7345E-02,4.4503E-02,5.6571E-01,3.7946E-02,2.8179E-02,0.0000E+00,4.0000E+00,6.5196E-02,-1.7297E-05,1.5093E-05,-9.5855E-05
19,4.8800E+02,6.9800E+02,-1.2400E+00,-2.0066E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,2.0475E-02,5.4784E-02,1.5513E+00,3.7925E-02,3.9502E-02,0.0000E+00,4.0000E+00,6.5159E-02,-1.6175E-04,1.0386E-04,-1.4666E-04
20,4.8800E+02,6.9800E+02,-1.8037E+00,-3.2055E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,2.3019E-02,7.0529E-02,2.3430E+00,2.7657E-02,3.2230E-02,0.0000E+00,4.0000E+00,4.7518E-02,-3.5387E-05,9.3177E-05,-1.1720E-04
21,4.8800E+02,6.9800E+02,-2.3871E+00,-4.5462E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,2.9787E-02,8.1529E-02,3.1039E+00,3.8817E-02,3.0404E-02,0.0000E+00,4.0000E+00,6.6693E-02,-6.6886E-05,9.4177E-05,-1.8983E-04
22,4.8800E+02,6.9800E+02,-3.0818E+00,-6.0296E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,2.6888E-02,1.1174E-01,4.1513E+00,4.1730E-02,3.5147E-02,0.0000E+00,4.0000E+00,7.1697E-02,-9.5045E-05,2.7413E-04,-1.1911E-04
23,4.8800E+02,6.9800E+02,-3.9150E+00,-7.2861E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,5.0250E-02,1.3693E-01,5.0517E+00,4.3186E-02,3.4675E-02,0.0000E+00,4.0000E+00,7.4199E-02,-1.8352E-04,3.1348E-04,-1.2232E-04
24,4.8800E+02,6.9800E+02,-4.6879E+00,-8.8481E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,6.4853E-02,1.5299E-01,5.9746E+00,4.7353E-02,4.1249E-02,0.0000E+00,4.0000E+00,8.1358E-02,-1.3060E-04,2.4722E-04,-1.8210E-04
25,4.8800E+02,6.9800E+02,-5.4037E+00,-1.0301E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,7.7284E-02,1.6472E-01,6.8413E+00,4.2240E-02,4.1038E-02,0.0000E+00,4.0000E+00,7.2574E-02,-2.4074E-04,2.8973E-04,-2.1941E-04
26,4.8800E+02,6.9800E+02,-5.9888E+00,-1.1621E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,8.0234E-02,1.7666E-01,7.6411E+00,3.6203E-02,4.5155E-02,0.0000E+00,4.0000E+00,6.2201E-02,-1.7664E-04,3.2893E-04,-5.9201E-05
27,4.8800E+02,6.9800E+02,-6.6354E+00,-1.3036E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,8.0780E-02,1.9262E-01,8.5580E+00,4.1623E-02,3.8973E-02,0.0000E+00,4.0000E+00,7.1515E-02,-1.6903E-04,5.4088E-04,-1.2278E-04
28,4.8800E+02,6.9800E+02,-7.7096E+00,-1.4255E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.2178E-01,2.2655E-01,9.5544E+00,4.5301E-02,3.3783E-02,0.0000E+00,4.0000E+00,7.7833E-02,-1.2277E-04,4.0948E-04,-1.5817E-04
29,4.8800E+02,6.9800E+02,-8.4287E+00,-1.5994E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.2611E-01,2.3782E-01,1.0515E+01,3.2748E-02,4.6448E-02,0.0000E+00,4.0000E+00,5.6266E-02,-1.0713E-04,6.6805E-04,-3.0032E-05
30,4.8800E+02,6.9800E+02,-8.1567E+00,-1.5170E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.3027E-01,2.3423E-01,1.0077E+01,4.7087E-02,4.5785E-02,0.0000E+00,4.0000E+00,8.0901E-02,-1.7571E-04,6.8810E-04,4.4749E-06
31,4.8800E+02,6.9800E+02,-7.3500E+00,-1.3854E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.1013E-01,2.1297E-01,9.1943E+00,3.8286E-02,3.8415E-02,0.0000E+00,4.0000E+00,6.5780E-02,-3.0246E-04,3.9175E-04,-1.8569E-04
32,4.8800E+02,6.9800E+02,-6.5669E+00,-1.2449E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.0483E-01,1.8820E-01,8.1459E+00,3.6245E-02,3.3677E-02,0.0000E+00,4.0000E+00,6.2274E-02,-1.7746E-04,4.3547E-04,-1.4252E-04
33,4.8800E+02,6.9800E+02,-5.7746E+00,-1.0837E+01,1.8615E+01,-2.3483E+00,-1.3557E-01,8.9448E-02,1.7999E-01,7.2128E+00,3.8180E-02,4.0039E-02,0.0000E+00,4.0000E+00,6.5598E-02,-2.4435E-04,1.6151E-04,-1.6083E-04
34,4.8800E+02,6.9800E+02,-4.9987E+00,-9.2200E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,7.3261E-02,1.6677E-01,6.3121E+00,3.5459E-02,3.9587E-02,0.0000E+00,4.0000E+00,6.0923E-02,-1.8354E-05,3.3846E-04,-1.2054E-04
35,4.8800E+02,6.9800E+02,-4.1487E+00,-7.5343E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,5.4546E-02,1.5215E-01,5.3330E+00,4.2527E-02,2.9456E-02,0.0000E+00,4.0000E+00,7.3067E-02,-5.2883E-05,3.3456E-04,-1.8608E-04
36,4.8800E+02,6.9800E+02,-3.4022E+00,-6.4325E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,3.8588E-02,1.2080E-01,4.4629E+00,3.8148E-02,3.3736E-02,0.0000E+00,4.0000E+00,6.5543E-02,-2.0996E-04,1.3741E-04,-1.4926E-04
37,4.8800E+02,6.9800E+02,-2.7285E+00,-5.0049E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,3.5581E-02,9.8146E-02,3.5252E+00,3.9487E-02,3.4126E-02,0.0000E+00,4.0000E+00,6.7844E-02,-1.4108E-04,5.2852E-05,-9.9375E-05
38,4.8800E+02,6.9800E+02,-1.9744E+00,-3.4584E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,2.4925E-02,8.2872E-02,2.5663E+00,3.5979E-02,3.3247E-02,0.0000E+00,4.0000E+00,6.1817E-02,-2.6318E-04,1.4791E-04,-1.4260E-04
39,4.8800E+02,6.9800E+02,-1.2765E+00,-1.9222E+00,1.8615E+01,-2.3483E+00,-1.3557E-01,1.8451E-02,6.6583E-02,1.6316E+00,2.7051E-02,3.1531E-02,0.0000E+00,4.0000E+00,4.6477E-02,-3.8952E-05,-3.5408E-05,-1.2067E-04
40,4.8800E+02,6.9800E+02,-5.0283E-01,-4.2196E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,1.2312E-02,4.3635E-02,5.7530E-01,2.8805E-02,2.7239E-02,0.0000E+00,4.0000E+00,4.9490E-02,-2.6814E-05,7.2896E-05,-2.1336E-04
41,4.8800E+02,6.9800E+02,-2.9113E-03,6.5291E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,2.8594E-04,4.0350E-02,-1.7616E-03,3.3545E-02,3.7535E-02,0.0000E+00,4.0000E+00,5.7635E-02,-4.1458E-05,8.4050E-05,-2.1268E-04
42,4.8800E+02,6.9800E+02,-1.1086E-02,6.1284E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,2.6750E-03,3.5229E-02,-2.0932E-02,4.0805E-02,3.1229E-02,0.0000E+00,4.0000E+00,7.0108E-02,6.7625E-05,-1.5629E-04,-1.7516E-04
43,4.8800E+02,6.9800E+02,-9.4909E-02,7.6176E-01,1.8615E+01,-2.3483E+00,-1.3557E-01,7.0838E-03,4.5527E-02,4.5565E-02,2.8688E-02,2.8895E-02,0.0000E+00,4.0000E+00,4.9290E-02,-6.8340E-06,1.0238E-04,-1.3938E-04
