FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.2800E+02,5.7100E+02,1.2357E-02,-2.0861E-02,2.2129E+01,-8.4846E+00,-1.8014E-01,2.7921E-03,-7.3002E-03,-3.8567E-02,2.3525E-02,4.3793E-02,0.0000E+00,4.0000E+00,7.2893E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,4.2800E+02,5.7100E+02,1.6849E-01,7.4076E-02,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.6362E-02,4.0125E-03,-1.7511E-03,2.3508E-02,3.7099E-02,0.0000E+00,4.0000E+00,7.2838E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,4.2800E+02,5.7100E+02,1.8045E-01,8.1454E-02,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.5897E-02,4.2047E-03,-1.8325E-02,2.3503E-02,4.0044E-02,0.0000E+00,4.0000E+00,7.2824E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,4.2800E+02,5.7100E+02,1.7030E-01,1.0387E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.6178E-02,6.1754E-03,-5.7690E-03,2.2638E-02,4.0474E-02,0.0000E+00,4.0000E+00,7.0145E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,4.2800E+02,5.7100E+02,1.7798E-01,1.2677E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.6250E-02,8.3174E-03,-1.3082E-02,2.2899E-02,4.1135E-02,0.0000E+00,4.0000E+00,7.0952E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,4.2800E+02,5.7100E+02,1.7403E-01,1.3426E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.5457E-02,7.5116E-03,-1.6891E-02,1.9346E-02,4.0083E-02,0.0000E+00,4.0000E+00,5.9943E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,4.2800E+02,5.7100E+02,1.8621E-01,1.7984E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.7443E-02,9.2432E-03,-8.9041E-03,2.2618E-02,3.8993E-02,0.0000E+00,4.0000E+00,7.0082E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,4.2800E+02,5.7100E+02,1.5675E-01,2.3910E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.5597E-02,1.3294E-02,9.6133E-04,2.3098E-02,3.8683E-02,0.0000E+00,4.0000E+00,7.1568E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,4.2800E+02,5.7100E+02,1.4301E-01,2.1667E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.4247E-02,1.3571E-02,6.1154E-04,2.3869E-02,3.7950E-02,0.0000E+00,4.0000E+00,7.3958E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,4.2800E+02,5.7100E+02,1.5886E-01,2.2058E-01,2.2129E+01,-8.4846E+00,-1.8014E-01,-1.5288E-02,1.3602E-02,-4.5423E-03,1.8352E-02,3.7994E-02,0.0000E+00,4.0000E+00,5.6864E-02,0.0000E+00,0.0000E+00,0.0000E+00
