Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
11.5908,0,0,0,0,2147483647
11.5908,0.969294,0.822409,0.821865,0.127636,1
11.5908,0.758563,0.709761,0.709589,0.056377,1
11.5908,0.742927,0.71258,0.71229,0.034336,1
11.5908,0.833096,0.758045,0.757873,0.06504,1
11.5908,0.779094,0.750003,0.749766,0.056504,1
11.5908,0.910595,0.814709,0.814534,0.058696,1
11.5908,0.907525,0.801687,0.801329,0.058361,1
11.5908,0.896032,0.85983,0.859609,0.118463,1
11.5908,0.840262,0.792573,0.792347,0.05586,1
11.5908,0.715728,0.68388,0.683677,0.026645,1
11.5908,0.724356,0.663445,0.663264,0.004169,1
11.5908,0.847389,0.74941,0.74923,0.062334,1
11.5908,0.771065,0.726588,0.726388,0.064217,1
11.5908,0.751046,0.696708,0.696538,0.018019,1
11.5908,0.735787,0.671379,0.671215,0.006458,1
11.5908,0.825445,0.704912,0.704692,0.026671,1
11.5908,0.757161,0.68536,0.685192,0.02348,1
11.5908,0.869784,0.763267,0.763108,0.071143,1
11.5908,0.774981,0.728933,0.72862,0.054787,1
11.5908,0.7808,0.720522,0.720323,0.055694,1
11.5908,0.788711,0.706669,0.706416,0.05183,1
11.5908,0.832299,0.773156,0.772955,0.06516,1
11.5908,0.786338,0.736945,0.736779,0.057571,1
11.5908,0.791681,0.756951,0.756748,0.056625,1
11.5908,0.801684,0.727783,0.727607,0.058479,1
11.5908,0.811982,0.777617,0.777451,0.070235,1
11.5908,0.813067,0.748962,0.74876,0.062572,1
11.5908,0.721912,0.681856,0.681629,0.02213,1
11.5908,0.776495,0.696116,0.695935,0.050779,1
11.5908,0.740531,0.695041,0.694858,0.054298,1
11.5908,0.740199,0.681806,0.681579,0.007442,1
11.5908,0.754291,0.674773,0.674605,0.017118,1
11.5908,0.836314,0.78263,0.782445,0.070176,1
11.5908,0.749341,0.714191,0.714019,0.05671,1
11.5908,0.724641,0.696667,0.696447,0.036786,1
11.5908,0.821526,0.716195,0.715837,0.052497,1
11.5908,0.747273,0.712169,0.711757,0.01984,1
11.5908,0.727501,0.649103,0.648937,0.005676,1
11.5908,0.83751,0.757384,0.757063,0.063158,1
11.5908,0.718802,0.666623,0.66628,0.003869,1
11.5908,0.796273,0.669885,0.669703,0.015516,1
11.5908,0.751429,0.699092,0.698877,0.021837,1
11.5908,0.796178,0.720039,0.719873,0.053716,1
11.5908,0.736453,0.683991,0.683743,0.021981,1
11.5908,0.750389,0.662546,0.662378,0.003762,1
11.5908,0.7931,0.687867,0.687687,0.016486,1
11.5908,0.737769,0.66538,0.665206,0.003783,1
11.5908,0.831928,0.707551,0.707289,0.031134,1
11.5908,0.833082,0.758445,0.758163,0.063108,1
