Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
16.4482,0,0,0,0,2147483647
16.4482,1.91607,1.74826,1.74792,0.399243,0
16.4482,1.40369,1.36534,1.36514,0.035092,0
16.4482,1.37207,1.32252,1.32227,0.065849,0
16.4482,1.36798,1.32939,1.32919,0.047889,0
16.4482,1.31495,1.27381,1.27367,0.008581,0
16.4482,1.4121,1.34169,1.34149,0.058072,0
16.4482,1.45126,1.40644,1.40624,0.055068,0
16.4482,1.36478,1.32211,1.32192,0.052224,0
16.4482,1.46545,1.39835,1.39815,0.056752,0
16.4482,1.36965,1.32959,1.32938,0.01988,0
16.4482,1.43886,1.37411,1.37385,0.068057,0
16.4482,1.36221,1.31788,1.31771,0.015571,0
16.4482,1.56963,1.51001,1.50984,0.061502,0
16.4482,1.51542,1.47649,1.4763,0.037774,0
16.4482,1.56594,1.50199,1.50179,0.054197,0
16.4482,1.56804,1.53033,1.53008,0.026222,0
16.4482,1.5644,1.50641,1.50617,0.037202,0
16.4482,1.52069,1.47396,1.47376,0.060246,0
16.4482,1.56506,1.52958,1.52938,0.05407,0
16.4482,1.51531,1.47918,1.47898,0.038777,0
16.4482,1.62126,1.57554,1.57524,0.055185,0
16.4482,1.4981,1.46061,1.46039,0.056509,0
16.4482,1.34413,1.31235,1.31215,0.025796,0
16.4482,1.39249,1.33522,1.33493,0.0764,0
16.4482,1.3662,1.32731,1.32709,0.028237,0
16.4482,1.38835,1.31094,1.3107,0.025916,0
16.4482,1.3969,1.32944,1.32924,0.019711,0
16.4482,1.39332,1.32436,1.32414,0.052125,0
16.4482,1.37927,1.33367,1.33347,0.063856,0
16.4482,1.3104,1.26606,1.2659,0.01034,0
16.4482,1.40322,1.34737,1.34717,0.061437,0
16.4482,1.31016,1.27721,1.277,0.011714,0
16.4482,1.38033,1.30951,1.30931,0.025243,0
16.4482,1.3873,1.30088,1.30065,0.022724,0
16.4482,1.3868,1.30825,1.30797,0.057031,0
16.4482,1.39166,1.33401,1.33377,0.055529,0
16.4482,1.40506,1.36292,1.36267,0.032249,0
16.4482,1.38956,1.31347,1.31324,0.011044,0
16.4482,1.38272,1.31798,1.31771,0.064328,0
16.4482,1.40153,1.35813,1.35792,0.031309,0
16.4482,1.41165,1.35402,1.35385,0.017994,0
16.4482,1.4022,1.33036,1.3302,0.015869,0
16.4482,1.35756,1.3069,1.3067,0.042204,0
16.4482,1.45758,1.39859,1.39834,0.061859,0
16.4482,1.4975,1.43855,1.43832,0.094568,0
16.4482,1.5245,1.46757,1.46736,0.089337,0
16.4482,1.44594,1.39745,1.39725,0.025776,0
16.4482,1.37977,1.28687,1.28658,0.033192,0
16.4482,1.39375,1.32008,1.31977,0.036256,0
16.4482,1.39609,1.36938,1.36911,0.06885,0
16.4482,1.38364,1.31994,1.31971,0.03941,0
16.4482,1.42325,1.38759,1.38738,0.060983,0
16.4482,1.50699,1.45269,1.4525,0.053294,0
16.4482,1.35355,1.3086,1.3084,0.022299,0
16.4482,1.46139,1.3843,1.38412,0.053409,0
16.4482,1.41094,1.36248,1.36231,0.00972,0
16.4482,1.39899,1.34313,1.34295,0.010083,0
16.4482,1.41117,1.33741,1.33719,0.00907,0
16.4482,1.43331,1.35906,1.35886,0.056359,0
