Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
11.7258,0,0,0,0,2147483647
11.7258,1.37517,1.21784,1.21762,0.315784,0
11.7258,0.955997,0.919686,0.91951,0.06738,1
11.7258,0.916108,0.878124,0.877959,0.059119,1
11.7258,0.868414,0.835441,0.835286,0.012553,1
11.7258,0.988326,0.897279,0.897103,0.010632,1
11.7258,1.04041,0.933702,0.933275,0.02877,0
11.7258,1.06736,0.97435,0.974164,0.09836,0
11.7258,1.01235,0.977806,0.97737,0.086701,0
11.7258,0.908879,0.875805,0.875642,0.058152,1
11.7258,0.943443,0.896803,0.896644,0.048425,1
11.7258,0.905027,0.848754,0.848544,0.020483,1
11.7258,0.950682,0.857736,0.857422,0.055247,1
11.7258,0.93967,0.887932,0.887574,0.054972,1
11.7258,0.949813,0.916956,0.916799,0.059945,1
11.7258,0.925103,0.879913,0.879611,0.069024,1
11.7258,0.872013,0.828144,0.827986,0.010842,1
11.7258,0.944627,0.860286,0.860134,0.061183,1
11.7258,0.876153,0.83047,0.830318,0.015418,1
11.7258,1.03193,0.914707,0.914192,0.074884,0
11.7258,0.889376,0.841069,0.84091,0.01356,1
11.7258,1.00581,0.903992,0.903828,0.00579,0
11.7258,0.905809,0.855747,0.855589,0.02189,1
11.7258,0.970194,0.921242,0.921078,0.065577,1
11.7258,0.929516,0.876838,0.876593,0.006683,1
11.7258,0.980091,0.885362,0.885181,0.004565,1
11.7258,0.971714,0.878883,0.878716,0.050398,1
11.7258,0.981641,0.937404,0.937154,0.054095,1
11.7258,0.907992,0.828123,0.827955,0.028999,1
11.7258,0.945529,0.877292,0.877119,0.055989,1
11.7258,0.91075,0.861156,0.860867,0.056512,1
11.7258,0.871703,0.826088,0.825919,0.019306,1
11.7258,1.01607,0.897742,0.897578,0.05712,0
11.7258,0.895075,0.84851,0.848336,0.015118,1
11.7258,0.90476,0.814603,0.814442,0.006001,1
11.7258,0.98205,0.89377,0.893589,0.07093,1
11.7258,0.910612,0.855048,0.85489,0.005393,1
11.7258,0.977804,0.878447,0.878284,0.05959,1
11.7258,0.899645,0.869893,0.869324,0.05282,1
