FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.6600E+02,5.7100E+02,-1.6052E-02,-6.1512E-03,2.8204E+01,-8.5019E+00,-1.2303E-01,6.0890E-04,1.4896E-03,8.2249E-03,2.2535E-02,4.5445E-02,0.0000E+00,4.0000E+00,6.9756E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,3.6600E+02,5.7100E+02,-1.9224E-02,-2.8543E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,3.5844E-03,-3.3716E-03,-1.4543E-02,2.4728E-02,4.8813E-02,0.0000E+00,4.0000E+00,7.6545E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,3.6600E+02,5.7100E+02,-1.7632E-02,2.6612E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,4.0974E-03,-2.8056E-03,-2.0236E-02,2.3711E-02,4.5723E-02,0.0000E+00,4.0000E+00,7.3396E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,3.6600E+02,5.7100E+02,-2.7791E-02,-3.5662E-03,2.8204E+01,-8.5019E+00,-1.2303E-01,3.1795E-03,-2.1613E-04,-4.0213E-03,2.3076E-02,4.3680E-02,0.0000E+00,4.0000E+00,7.1433E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,3.6600E+02,5.7100E+02,-2.6697E-02,1.6651E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,3.9010E-03,-1.6117E-03,-1.0882E-02,2.2799E-02,4.4145E-02,0.0000E+00,4.0000E+00,7.0574E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,3.6600E+02,5.7100E+02,-1.8166E-02,-5.1238E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,3.9658E-03,-4.4141E-03,-1.8820E-02,2.4867E-02,4.4190E-02,0.0000E+00,4.0000E+00,7.6974E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,3.6600E+02,5.7100E+02,-4.2287E-02,2.3454E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,3.5863E-03,-4.4053E-04,5.5002E-03,2.1407E-02,4.2391E-02,0.0000E+00,4.0000E+00,6.6266E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,3.6600E+02,5.7100E+02,-2.9148E-02,2.0828E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,3.5655E-03,-5.9173E-04,-5.9527E-03,2.5336E-02,4.8048E-02,0.0000E+00,4.0000E+00,7.8427E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,3.6600E+02,5.7100E+02,-1.4893E-02,-9.9013E-03,2.8204E+01,-8.5019E+00,-1.2303E-01,3.5742E-03,-2.2101E-03,-1.8474E-02,2.2983E-02,4.5634E-02,0.0000E+00,4.0000E+00,7.1143E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,3.6600E+02,5.7100E+02,-1.5596E-02,-2.0598E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,2.8077E-03,-1.2106E-03,-1.1339E-02,2.5103E-02,4.6399E-02,0.0000E+00,4.0000E+00,7.7704E-02,0.0000E+00,0.0000E+00,0.0000E+00
10,3.6600E+02,5.7100E+02,-2.1591E-02,5.8920E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,2.9556E-03,5.9878E-04,-7.1540E-03,2.3791E-02,4.4109E-02,0.0000E+00,4.0000E+00,7.3646E-02,0.0000E+00,0.0000E+00,0.0000E+00
11,3.6600E+02,5.7100E+02,-2.9491E-02,8.7634E-02,2.8204E+01,-8.5019E+00,-1.2303E-01,4.1866E-03,5.6170E-04,-1.0973E-02,2.4347E-02,4.8339E-02,0.0000E+00,4.0000E+00,7.5367E-02,0.0000E+00,0.0000E+00,0.0000E+00
12,3.6600E+02,5.7100E+02,1.1402E-01,-1.3935E-01,2.8204E+01,-8.5019E+00,-1.2303E-01,-9.8339E-03,-7.2644E-03,-1.1450E-02,2.2945E-02,3.9395E-02,0.0000E+00,4.0000E+00,7.1025E-02,0.0000E+00,0.0000E+00,0.0000E+00
13,3.6600E+02,5.7100E+02,2.4487E-02,-1.7324E-01,2.8204E+01,-8.5019E+00,-1.2303E-01,-5.1317E-04,-1.0083E-02,-1.5632E-02,2.3881E-02,4.4229E-02,0.0000E+00,4.0000E+00,7.3925E-02,0.0000E+00,0.0000E+00,0.0000E+00
14,3.6600E+02,5.7100E+02,1.6355E-02,-1.5272E-01,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.3657E-03,-7.4403E-03,-1.3376E-03,2.3208E-02,4.3521E-02,0.0000E+00,4.0000E+00,7.1840E-02,0.0000E+00,0.0000E+00,0.0000E+00
15,3.6600E+02,5.7100E+02,-4.2226E-01,-9.6575E-01,2.8204E+01,-8.5019E+00,-1.2303E-01,-4.6443E-03,1.8271E-02,4.0145E-01,2.4605E-02,3.5066E-02,0.0000E+00,4.0000E+00,7.6163E-02,0.0000E+00,0.0000E+00,0.0000E+00
16,3.6600E+02,5.7100E+02,-1.4032E+00,-2.8536E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.2846E-02,7.2079E-02,1.3082E+00,2.3419E-02,4.5303E-02,0.0000E+00,4.0000E+00,7.2493E-02,0.0000E+00,0.0000E+00,0.0000E+00
17,3.6600E+02,5.7100E+02,-2.3158E+00,-4.3970E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-7.3842E-03,1.1803E-01,2.0343E+00,2.5700E-02,4.7445E-02,0.0000E+00,4.0000E+00,7.9554E-02,0.0000E+00,0.0000E+00,0.0000E+00
18,3.6600E+02,5.7100E+02,-3.1764E+00,-6.1051E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.1423E-02,1.5866E-01,2.7978E+00,2.3027E-02,5.3935E-02,0.0000E+00,4.0000E+00,7.1279E-02,0.0000E+00,0.0000E+00,0.0000E+00
19,3.6600E+02,5.7100E+02,-4.0289E+00,-7.6545E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.0246E-02,1.9900E-01,3.5065E+00,2.1291E-02,4.8563E-02,0.0000E+00,4.0000E+00,6.5906E-02,0.0000E+00,0.0000E+00,0.0000E+00
20,3.6600E+02,5.7100E+02,-4.8567E+00,-9.3956E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.0829E-02,2.4046E-01,4.2946E+00,2.3925E-02,4.7638E-02,0.0000E+00,4.0000E+00,7.4060E-02,0.0000E+00,0.0000E+00,0.0000E+00
21,3.6600E+02,5.7100E+02,-5.8192E+00,-1.1260E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.8569E-02,2.8436E-01,5.0807E+00,2.3687E-02,5.1344E-02,0.0000E+00,4.0000E+00,7.3323E-02,0.0000E+00,0.0000E+00,0.0000E+00
22,3.6600E+02,5.7100E+02,-6.5442E+00,-1.2659E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.7303E-02,3.2396E-01,5.7619E+00,2.2856E-02,4.5028E-02,0.0000E+00,4.0000E+00,7.0750E-02,0.0000E+00,0.0000E+00,0.0000E+00
23,3.6600E+02,5.7100E+02,-7.5857E+00,-1.4491E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.3204E-02,3.7588E-01,6.5925E+00,2.1283E-02,5.1613E-02,0.0000E+00,4.0000E+00,6.5880E-02,0.0000E+00,0.0000E+00,0.0000E+00
24,3.6600E+02,5.7100E+02,-8.5436E+00,-1.6377E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.5360E-02,4.1947E-01,7.4057E+00,2.4312E-02,4.1720E-02,0.0000E+00,4.0000E+00,7.5257E-02,0.0000E+00,0.0000E+00,0.0000E+00
25,3.6600E+02,5.7100E+02,-9.6236E+00,-1.8372E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.8012E-02,4.7033E-01,8.3217E+00,2.2158E-02,4.3081E-02,0.0000E+00,4.0000E+00,6.8589E-02,0.0000E+00,0.0000E+00,0.0000E+00
26,3.6600E+02,5.7100E+02,-1.0425E+01,-1.9972E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-4.0296E-02,5.1833E-01,9.0863E+00,2.2428E-02,5.3293E-02,0.0000E+00,4.0000E+00,6.9425E-02,0.0000E+00,0.0000E+00,0.0000E+00
27,3.6600E+02,5.7100E+02,-1.1551E+01,-2.2057E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-4.1971E-02,5.7166E-01,1.0024E+01,2.0168E-02,5.1824E-02,0.0000E+00,4.0000E+00,6.2431E-02,0.0000E+00,0.0000E+00,0.0000E+00
28,3.6600E+02,5.7100E+02,-1.2223E+01,-2.3408E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-4.3858E-02,6.0006E-01,1.0590E+01,1.8212E-02,4.3444E-02,0.0000E+00,4.0000E+00,5.6376E-02,0.0000E+00,0.0000E+00,0.0000E+00
29,3.6600E+02,5.7100E+02,-1.1359E+01,-2.1841E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-4.1394E-02,5.5962E-01,9.8616E+00,2.2939E-02,4.6816E-02,0.0000E+00,4.0000E+00,7.1007E-02,0.0000E+00,0.0000E+00,0.0000E+00
30,3.6600E+02,5.7100E+02,-1.0365E+01,-1.9925E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-3.8639E-02,5.1193E-01,9.0223E+00,2.0057E-02,4.9667E-02,0.0000E+00,4.0000E+00,6.2086E-02,0.0000E+00,0.0000E+00,0.0000E+00
31,3.6600E+02,5.7100E+02,-9.5458E+00,-1.8345E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-3.1178E-02,4.6816E-01,8.2841E+00,2.4140E-02,4.8677E-02,0.0000E+00,4.0000E+00,7.4725E-02,0.0000E+00,0.0000E+00,0.0000E+00
32,3.6600E+02,5.7100E+02,-8.4758E+00,-1.6312E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.9045E-02,4.1694E-01,7.3815E+00,2.3286E-02,4.5473E-02,0.0000E+00,4.0000E+00,7.2082E-02,0.0000E+00,0.0000E+00,0.0000E+00
33,3.6600E+02,5.7100E+02,-7.4764E+00,-1.4384E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.6210E-02,3.7129E-01,6.5274E+00,2.1747E-02,4.8174E-02,0.0000E+00,4.0000E+00,6.7319E-02,0.0000E+00,0.0000E+00,0.0000E+00
34,3.6600E+02,5.7100E+02,-6.4658E+00,-1.2552E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-2.1736E-02,3.1631E-01,5.6478E+00,2.2084E-02,4.7018E-02,0.0000E+00,4.0000E+00,6.8361E-02,0.0000E+00,0.0000E+00,0.0000E+00
35,3.6600E+02,5.7100E+02,-5.5436E+00,-1.0754E+01,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.6497E-02,2.6948E-01,4.8320E+00,2.3011E-02,4.9222E-02,0.0000E+00,4.0000E+00,7.1231E-02,0.0000E+00,0.0000E+00,0.0000E+00
36,3.6600E+02,5.7100E+02,-4.7654E+00,-9.1460E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-8.0071E-03,2.3182E-01,4.1054E+00,2.4292E-02,5.0195E-02,0.0000E+00,4.0000E+00,7.5194E-02,0.0000E+00,0.0000E+00,0.0000E+00
37,3.6600E+02,5.7100E+02,-3.6666E+00,-7.0698E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.3593E-02,1.8474E-01,3.2296E+00,2.4226E-02,4.7832E-02,0.0000E+00,4.0000E+00,7.4992E-02,0.0000E+00,0.0000E+00,0.0000E+00
38,3.6600E+02,5.7100E+02,-2.8488E+00,-5.5002E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-1.1664E-02,1.4421E-01,2.5227E+00,2.3437E-02,4.4608E-02,0.0000E+00,4.0000E+00,7.2548E-02,0.0000E+00,0.0000E+00,0.0000E+00
39,3.6600E+02,5.7100E+02,-1.9470E+00,-3.8043E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-9.1310E-03,9.8747E-02,1.7370E+00,2.4694E-02,5.0605E-02,0.0000E+00,4.0000E+00,7.6438E-02,0.0000E+00,0.0000E+00,0.0000E+00
40,3.6600E+02,5.7100E+02,-9.4693E-01,-1.9891E+00,2.8204E+01,-8.5019E+00,-1.2303E-01,-8.3337E-03,4.8403E-02,8.8002E-01,2.4892E-02,5.3931E-02,0.0000E+00,4.0000E+00,7.7051E-02,0.0000E+00,0.0000E+00,0.0000E+00
