Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
18.7721,0,0,0,0,2147483647
18.7721,1.86526,1.72547,1.72515,0.380288,0
18.7721,1.32532,1.27687,1.27669,0.012893,0
18.7721,1.39165,1.33767,1.33748,0.012985,0
18.7721,1.44241,1.3741,1.37391,0.03617,0
18.7721,1.34255,1.28842,1.28823,0.02118,0
18.7721,1.41144,1.36859,1.36842,0.070632,0
18.7721,1.36306,1.3146,1.31436,0.027741,0
18.7721,1.40088,1.35381,1.35355,0.04813,0
18.7721,1.35534,1.30939,1.30918,0.057513,0
18.7721,1.40958,1.36252,1.36232,0.023229,0
18.7721,1.38738,1.30817,1.30795,0.042497,0
18.7721,1.38783,1.3291,1.3289,0.054236,0
18.7721,1.38142,1.32655,1.32635,0.051538,0
18.7721,1.41528,1.3727,1.37246,0.020256,0
18.7721,1.38124,1.31836,1.31813,0.043144,0
18.7721,1.40632,1.36344,1.36316,0.070393,0
18.7721,1.40547,1.37677,1.37662,0.033721,0
18.7721,1.44143,1.37695,1.37674,0.055095,0
18.7721,1.42637,1.38936,1.38911,0.063106,0
18.7721,1.49053,1.45677,1.45657,0.069252,0
18.7721,1.45472,1.41477,1.41457,0.057899,0
18.7721,1.47024,1.42511,1.42488,0.039298,0
18.7721,1.57108,1.51405,1.51384,0.058767,0
18.7721,1.45085,1.41751,1.41736,0.009898,0
18.7721,1.54344,1.4524,1.45223,0.009346,0
18.7721,1.51143,1.42609,1.42586,0.009936,0
18.7721,1.52963,1.46899,1.46881,0.010815,0
18.7721,1.59774,1.5132,1.51298,0.056475,0
18.7721,1.53828,1.49344,1.49325,0.055659,0
18.7721,1.48471,1.44085,1.44069,0.014053,0
18.7721,1.50637,1.42435,1.42419,0.008644,0
18.7721,1.50769,1.45933,1.45912,0.055743,0
18.7721,1.58152,1.54583,1.54567,0.052001,0
18.7721,1.544,1.50354,1.50334,0.056507,0
18.7721,1.56649,1.53383,1.53363,0.057534,0
18.7721,1.49753,1.4423,1.4421,0.02637,0
18.7721,1.55282,1.51431,1.51411,0.019917,0
18.7721,1.49437,1.43678,1.43656,0.053235,0
18.7721,1.40742,1.35001,1.34984,0.011008,0
18.7721,1.52587,1.4772,1.47698,0.056036,0
18.7721,1.37121,1.33787,1.33771,0.008919,0
18.7721,1.47475,1.40073,1.40048,0.028801,0
18.7721,1.38244,1.31677,1.31649,0.027372,0
18.7721,1.38535,1.34643,1.34621,0.052317,0
18.7721,1.5313,1.48865,1.48844,0.041465,0
18.7721,1.68623,1.58648,1.58618,0.100517,0
18.7721,1.73078,1.66623,1.66602,0.094787,0
18.7721,1.52477,1.49048,1.49031,0.051088,0
18.7721,1.50338,1.44162,1.44146,0.008704,0
18.7721,1.48852,1.38978,1.38954,0.053891,0
18.7721,1.47609,1.43859,1.43843,0.054938,0
18.7721,1.316,1.27346,1.27324,0.01662,0
