FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.3200E+02,6.0300E+02,1.4935E-02,-6.0099E-02,1.3004E+01,-6.4889E+00,-8.9036E-02,-1.9930E-03,-3.8552E-03,8.3602E-03,1.9373E-02,9.8761E-03,0.0000E+00,4.0000E+00,1.3456E-01,0.0000E+00,0.0000E+00,0.0000E+00
1,5.3200E+02,6.0300E+02,-3.1767E-03,2.4487E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,-2.4017E-04,1.3771E-02,9.7820E-03,1.9520E-02,1.0442E-02,0.0000E+00,4.0000E+00,1.3558E-01,0.0000E+00,0.0000E+00,0.0000E+00
2,5.3200E+02,6.0300E+02,1.2392E-03,3.0198E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,-3.9631E-04,1.5113E-02,3.7785E-03,1.9833E-02,1.2361E-02,0.0000E+00,4.0000E+00,1.3775E-01,0.0000E+00,0.0000E+00,0.0000E+00
3,5.3200E+02,6.0300E+02,-2.7977E-04,3.7754E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,-3.7774E-05,1.7565E-02,-2.5579E-04,2.0059E-02,1.2519E-02,0.0000E+00,4.0000E+00,1.3932E-01,0.0000E+00,0.0000E+00,0.0000E+00
4,5.3200E+02,6.0300E+02,-1.6062E-02,4.3573E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,8.4203E-04,2.0987E-02,1.4207E-02,2.0462E-02,1.2831E-02,0.0000E+00,4.0000E+00,1.4212E-01,0.0000E+00,0.0000E+00,0.0000E+00
5,5.3200E+02,6.0300E+02,-1.9772E-02,4.7615E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,1.3909E-03,2.3260E-02,1.1001E-02,2.0710E-02,1.2846E-02,0.0000E+00,4.0000E+00,1.4385E-01,0.0000E+00,0.0000E+00,0.0000E+00
6,5.3200E+02,6.0300E+02,-2.0009E-02,5.1886E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,1.5800E-03,2.4339E-02,7.7571E-03,2.0347E-02,1.2067E-02,0.0000E+00,4.0000E+00,1.4132E-01,0.0000E+00,0.0000E+00,0.0000E+00
7,5.3200E+02,6.0300E+02,-2.5724E-02,5.4716E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,2.2695E-03,2.6221E-02,5.9115E-03,2.0213E-02,1.1757E-02,0.0000E+00,4.0000E+00,1.4040E-01,0.0000E+00,0.0000E+00,0.0000E+00
8,5.3200E+02,6.0300E+02,-2.7159E-02,5.8163E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,2.1989E-03,2.8257E-02,9.9490E-03,2.0142E-02,1.1758E-02,0.0000E+00,4.0000E+00,1.3990E-01,0.0000E+00,0.0000E+00,0.0000E+00
9,5.3200E+02,6.0300E+02,-2.1880E-02,7.1067E-01,1.3004E+01,-6.4889E+00,-8.9036E-02,1.7172E-03,3.3286E-02,8.1104E-03,2.0239E-02,1.2414E-02,0.0000E+00,4.0000E+00,1.4058E-01,0.0000E+00,0.0000E+00,0.0000E+00
