FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,2.5000E+02,8.8000E+02,3.4575E-02,1.4944E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-1.1279E-03,-1.2069E-03,-2.3863E-02,1.6649E-02,4.3292E-02,0.0000E+00,4.0000E+00,6.4009E-02,-1.9511E-05,-3.5298E-06,2.2567E-05
1,2.5000E+02,8.8000E+02,2.8194E-02,-2.7154E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-2.3261E-03,-1.3923E-03,-7.7156E-03,1.5080E-02,4.0754E-02,0.0000E+00,4.0000E+00,5.7976E-02,2.3506E-06,7.7066E-05,7.5332E-05
2,2.5000E+02,8.8000E+02,4.9622E-02,-4.5847E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-3.8853E-03,-1.3448E-03,-1.5852E-02,1.5889E-02,4.1948E-02,0.0000E+00,4.0000E+00,6.1088E-02,-1.0380E-05,-5.6851E-05,-5.5979E-06
3,2.5000E+02,8.8000E+02,4.8469E-02,-2.4566E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-2.4553E-03,-3.1262E-03,-2.6025E-02,1.6801E-02,4.0426E-02,0.0000E+00,4.0000E+00,6.4592E-02,-8.5881E-05,-3.5020E-05,1.9917E-05
4,2.5000E+02,8.8000E+02,5.9308E-02,-6.5062E-04,4.5850E+01,8.0187E+00,-9.8649E-02,-5.1012E-03,-3.2306E-04,-1.4508E-02,1.6989E-02,3.9227E-02,0.0000E+00,4.0000E+00,6.5315E-02,-8.5733E-05,7.5694E-05,-3.6002E-05
5,2.5000E+02,8.8000E+02,5.8779E-02,-2.4365E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-3.9089E-03,-1.9842E-03,-2.4113E-02,1.8497E-02,3.8077E-02,0.0000E+00,4.0000E+00,7.1113E-02,3.5792E-05,1.9655E-06,7.1130E-05
6,2.5000E+02,8.8000E+02,4.7077E-02,-1.9245E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-2.9359E-03,-1.1671E-03,-2.1196E-02,1.8490E-02,3.5454E-02,0.0000E+00,4.0000E+00,7.1088E-02,1.8807E-05,-1.3153E-04,7.9067E-05
7,2.5000E+02,8.8000E+02,4.2183E-02,-4.1744E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-3.2700E-03,-1.4899E-03,-1.3662E-02,1.6109E-02,4.0637E-02,0.0000E+00,4.0000E+00,6.1932E-02,1.5510E-05,-1.4751E-04,2.3884E-05
8,2.5000E+02,8.8000E+02,7.5199E-02,1.4146E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-5.4833E-03,3.9584E-05,-2.6925E-02,1.5943E-02,3.9350E-02,0.0000E+00,4.0000E+00,6.1297E-02,4.1154E-05,-1.5587E-04,6.0219E-05
9,2.5000E+02,8.8000E+02,7.3672E-02,2.7215E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-4.8888E-03,-7.6484E-04,-3.0000E-02,1.7283E-02,4.1468E-02,0.0000E+00,4.0000E+00,6.6445E-02,-1.2999E-04,5.8576E-05,-1.3067E-05
10,2.5000E+02,8.8000E+02,7.1954E-02,3.8330E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-4.1995E-03,-4.3017E-04,-3.4252E-02,1.6701E-02,3.4674E-02,0.0000E+00,4.0000E+00,6.4211E-02,3.5857E-06,-2.3446E-04,1.1755E-04
11,2.5000E+02,8.8000E+02,6.0522E-02,3.5113E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-5.2567E-03,2.5139E-03,-1.4945E-02,1.6562E-02,4.2407E-02,0.0000E+00,4.0000E+00,6.3675E-02,1.6003E-05,8.7958E-05,-8.9417E-06
12,2.5000E+02,8.8000E+02,5.8300E-02,5.0208E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-5.2437E-03,2.6618E-03,-1.2624E-02,1.6358E-02,4.2042E-02,0.0000E+00,4.0000E+00,6.2889E-02,2.6866E-05,3.1106E-05,-2.9399E-06
13,2.5000E+02,8.8000E+02,5.5983E-02,6.0780E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-4.3131E-03,2.4050E-03,-1.8137E-02,1.8839E-02,4.1438E-02,0.0000E+00,4.0000E+00,7.2431E-02,-6.6975E-05,-9.8556E-05,7.1951E-05
14,2.5000E+02,8.8000E+02,5.1228E-02,5.9514E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-4.3231E-03,3.6845E-03,-1.3887E-02,1.7625E-02,3.7514E-02,0.0000E+00,4.0000E+00,6.7763E-02,5.7149E-05,-3.4823E-05,2.7648E-05
15,2.5000E+02,8.8000E+02,4.3792E-02,1.1945E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-2.3415E-03,2.9460E-03,-2.2342E-02,1.7315E-02,3.7380E-02,0.0000E+00,4.0000E+00,6.6570E-02,-1.8472E-04,-1.2609E-04,1.2841E-04
16,2.5000E+02,8.8000E+02,6.0109E-02,9.7719E-02,4.5850E+01,8.0187E+00,-9.8649E-02,-4.6581E-03,3.7524E-03,-1.9149E-02,1.6374E-02,3.9398E-02,0.0000E+00,4.0000E+00,6.2952E-02,1.4793E-04,5.5441E-05,-1.1217E-04
17,2.5000E+02,8.8000E+02,5.0503E-02,1.1063E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-2.5807E-03,4.1849E-03,-2.7668E-02,1.6268E-02,3.7450E-02,0.0000E+00,4.0000E+00,6.2544E-02,-8.4644E-05,-1.2529E-04,1.7964E-04
18,2.5000E+02,8.8000E+02,3.8009E-02,1.0840E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-2.2702E-03,3.7817E-03,-1.7765E-02,1.7401E-02,3.8393E-02,0.0000E+00,4.0000E+00,6.6901E-02,-5.9700E-05,-5.8242E-06,5.6677E-06
19,2.5000E+02,8.8000E+02,4.5858E-02,1.5506E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-2.2938E-03,5.4760E-03,-2.5277E-02,1.7191E-02,3.8284E-02,0.0000E+00,4.0000E+00,6.6093E-02,-1.7447E-04,-9.5391E-05,8.1698E-05
20,2.5000E+02,8.8000E+02,4.4171E-02,1.1795E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-3.4824E-03,4.2769E-03,-1.3361E-02,1.6853E-02,3.6838E-02,0.0000E+00,4.0000E+00,6.4794E-02,3.5869E-06,-2.5218E-04,8.1063E-05
21,2.5000E+02,8.8000E+02,-1.0755E+00,-9.9446E-01,4.5850E+01,8.0187E+00,-9.8649E-02,1.6492E-02,4.1802E-02,8.9129E-01,1.7169E-02,4.2109E-02,0.0000E+00,4.0000E+00,6.6009E-02,1.1560E-05,1.7697E-04,5.2839E-06
22,2.5000E+02,8.8000E+02,-1.0700E+00,-9.7915E-01,4.5850E+01,8.0187E+00,-9.8649E-02,1.8627E-02,4.1346E-02,8.6770E-01,1.7784E-02,3.7771E-02,0.0000E+00,4.0000E+00,6.8372E-02,-6.5284E-05,1.0837E-04,-4.7808E-05
23,2.5000E+02,8.8000E+02,-1.0699E+00,-9.7449E-01,4.5850E+01,8.0187E+00,-9.8649E-02,1.8967E-02,3.9784E-02,8.6536E-01,1.7493E-02,4.0274E-02,0.0000E+00,4.0000E+00,6.7253E-02,2.7399E-06,-1.5173E-04,8.2090E-05
24,2.5000E+02,8.8000E+02,-1.0587E+00,-9.7579E-01,4.5850E+01,8.0187E+00,-9.8649E-02,1.8530E-02,4.1570E-02,8.5722E-01,1.7152E-02,4.3302E-02,0.0000E+00,4.0000E+00,6.5943E-02,6.4457E-06,-3.7039E-05,-3.3334E-05
25,2.5000E+02,8.8000E+02,-1.0855E+00,-9.5902E-01,4.5850E+01,8.0187E+00,-9.8649E-02,1.9362E-02,4.3296E-02,8.7622E-01,1.6333E-02,3.9182E-02,0.0000E+00,4.0000E+00,6.2794E-02,6.0001E-05,1.3986E-04,-8.3707E-05
26,2.5000E+02,8.8000E+02,-2.0958E+00,-2.1070E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.2384E-02,8.3932E-02,1.8144E+00,1.6376E-02,4.1343E-02,0.0000E+00,4.0000E+00,6.2959E-02,-5.2394E-05,-6.0246E-05,-4.2132E-05
27,2.5000E+02,8.8000E+02,-2.1214E+00,-2.1075E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.5891E-02,8.2162E-02,1.8100E+00,1.6212E-02,4.0380E-02,0.0000E+00,4.0000E+00,6.2328E-02,-1.7231E-04,-2.2485E-04,3.9732E-05
28,2.5000E+02,8.8000E+02,-2.1030E+00,-2.1260E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.4890E-02,8.1333E-02,1.8005E+00,1.7449E-02,4.1518E-02,0.0000E+00,4.0000E+00,6.7084E-02,-7.7098E-05,-2.0448E-04,-2.1584E-05
29,2.5000E+02,8.8000E+02,-2.1101E+00,-2.1124E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.3704E-02,8.3534E-02,1.8172E+00,1.6818E-02,4.1742E-02,0.0000E+00,4.0000E+00,6.4658E-02,-8.5151E-05,-2.4686E-04,-1.3301E-06
30,2.5000E+02,8.8000E+02,-2.1018E+00,-2.0926E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.2954E-02,8.3937E-02,1.8157E+00,1.6399E-02,4.1210E-02,0.0000E+00,4.0000E+00,6.3047E-02,-1.0394E-04,-1.4122E-04,-7.3172E-05
31,2.5000E+02,8.8000E+02,-1.1501E+00,-1.0002E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.1557E-02,4.6969E-02,9.1895E-01,1.6951E-02,3.9511E-02,0.0000E+00,4.0000E+00,6.5172E-02,-3.4264E-06,7.9055E-05,-1.3509E-04
32,2.5000E+02,8.8000E+02,-1.1490E+00,-1.0120E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.0287E-02,4.7334E-02,9.2860E-01,1.6844E-02,3.7153E-02,0.0000E+00,4.0000E+00,6.4761E-02,4.1666E-05,3.5487E-05,-6.6705E-05
33,2.5000E+02,8.8000E+02,-1.1444E+00,-1.0091E+00,4.5850E+01,8.0187E+00,-9.8649E-02,2.0629E-02,4.6855E-02,9.2130E-01,1.6607E-02,3.9084E-02,0.0000E+00,4.0000E+00,6.3847E-02,-1.1032E-04,1.0679E-04,3.6580E-05
34,2.5000E+02,8.8000E+02,-1.1564E+00,-9.8171E-01,4.5850E+01,8.0187E+00,-9.8649E-02,2.0966E-02,4.7816E-02,9.3034E-01,1.7048E-02,3.9342E-02,0.0000E+00,4.0000E+00,6.5543E-02,4.7277E-05,7.3259E-05,-9.5282E-06
35,2.5000E+02,8.8000E+02,1.4896E-02,2.3890E-01,4.5850E+01,8.0187E+00,-9.8649E-02,3.1206E-04,1.2012E-02,-1.8456E-02,1.8445E-02,3.8978E-02,0.0000E+00,4.0000E+00,7.0915E-02,-5.3823E-05,-5.5935E-05,5.8770E-05
36,2.5000E+02,8.8000E+02,2.0248E-02,2.6506E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-3.3859E-04,1.2729E-02,-1.7942E-02,1.7697E-02,3.9025E-02,0.0000E+00,4.0000E+00,6.8038E-02,-7.9641E-05,-1.1227E-04,8.7716E-05
37,2.5000E+02,8.8000E+02,3.1018E-02,2.4681E-01,4.5850E+01,8.0187E+00,-9.8649E-02,-6.9210E-04,1.2603E-02,-2.5893E-02,1.7727E-02,3.8332E-02,0.0000E+00,4.0000E+00,6.8156E-02,-1.1096E-05,6.6462E-05,2.4511E-05
