FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.4900E+02,5.5900E+02,9.8533E-02,-3.7648E-02,1.1796E+01,-1.0165E+01,-1.5618E-01,-6.4362E-03,-4.6462E-03,-8.8656E-02,2.2811E-01,1.1079E-01,0.0000E+00,4.0000E+00,2.3481E-01,4.0661E-04,-9.2424E-05,1.9938E-04
1,5.4900E+02,5.5900E+02,4.1854E-02,2.8751E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,-4.2175E-03,1.5573E-02,-7.4514E-03,1.2377E-01,1.9627E-01,0.0000E+00,4.0000E+00,1.2740E-01,1.3285E-03,4.6435E-04,5.0537E-04
2,5.4900E+02,5.5900E+02,-3.1226E-02,3.5385E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,8.6860E-03,9.1042E-03,-9.8119E-02,1.3336E-01,1.1246E-01,0.0000E+00,4.0000E+00,1.3728E-01,1.0385E-04,-1.6067E-04,4.1802E-04
3,5.4900E+02,5.5900E+02,7.8216E-03,3.5662E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0544E-03,1.7103E-02,-3.5738E-02,1.1717E-01,1.2745E-01,0.0000E+00,4.0000E+00,1.2061E-01,8.0230E-04,4.8629E-04,2.6759E-04
4,5.4900E+02,5.5900E+02,-1.2469E-02,2.8258E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,-6.9504E-04,1.7952E-02,4.1459E-02,1.0050E-01,1.0782E-01,0.0000E+00,4.0000E+00,1.0345E-01,1.5880E-03,4.9636E-04,8.4063E-04
5,5.4900E+02,5.5900E+02,8.3762E-02,2.8167E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,-9.0080E-03,1.8278E-02,-5.8811E-03,1.5015E-01,1.3920E-01,0.0000E+00,4.0000E+00,1.5456E-01,-1.9935E-04,1.8513E-04,9.4435E-04
6,5.4900E+02,5.5900E+02,-1.6847E-02,4.8397E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,4.1258E-03,2.0465E-02,-4.0535E-02,1.1322E-01,1.2669E-01,0.0000E+00,4.0000E+00,1.1654E-01,-5.1257E-04,-4.7970E-04,2.6679E-04
7,5.4900E+02,5.5900E+02,7.3639E-02,4.7651E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,-3.4895E-03,1.4805E-02,-8.7381E-02,1.8541E-01,1.4267E-01,0.0000E+00,4.0000E+00,1.9086E-01,-2.1588E-03,-7.1243E-04,-6.3465E-04
8,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,1.3126E-01,0.0000E+00,4.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
9,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
10,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
11,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
12,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
13,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
14,5.4900E+02,5.5900E+02,1.9371E-02,5.2340E-01,1.1796E+01,-1.0165E+01,-1.5618E-01,1.0835E-03,1.8347E-02,-5.8536E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
