FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.5300E+02,6.4300E+02,-1.5238E-01,-4.7756E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,-8.4090E-03,1.3434E-02,2.6489E-01,1.0874E-01,6.2428E-02,0.0000E+00,4.0000E+00,1.1234E-01,-2.9318E-03,9.0828E-04,1.4813E-04
1,3.5300E+02,6.4300E+02,-1.1996E-01,-1.8306E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,-1.8237E-03,1.4873E-02,1.5828E-01,8.5799E-02,7.2838E-02,0.0000E+00,4.0000E+00,8.8639E-02,-6.8195E-04,4.9447E-04,-6.0093E-04
2,3.5300E+02,6.4300E+02,-1.7081E-02,3.7016E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,1.3020E-02,3.6240E-03,-1.1527E-01,1.1376E-01,9.8362E-02,0.0000E+00,4.0000E+00,1.1753E-01,-3.7089E-04,-8.5111E-04,1.2486E-03
3,3.5300E+02,6.4300E+02,5.3503E-02,2.9168E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,1.2908E-03,7.9060E-03,-7.6863E-02,1.4125E-01,7.7409E-02,0.0000E+00,4.0000E+00,1.4592E-01,-3.3339E-03,5.6296E-04,-1.0910E-03
4,3.5300E+02,6.4300E+02,7.0814E-03,2.3622E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,1.0827E-02,-5.6126E-04,-1.2184E-01,1.6515E-01,1.0151E-01,0.0000E+00,4.0000E+00,1.7061E-01,0.0000E+00,0.0000E+00,0.0000E+00
5,3.5300E+02,6.4300E+02,-1.8154E-01,-1.5683E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,1.2092E-02,7.9642E-03,8.5094E-02,7.9705E-02,6.6433E-02,0.0000E+00,4.0000E+00,8.2343E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,3.5300E+02,6.4300E+02,-1.7478E-01,-9.2475E-04,3.3723E+01,-5.4990E+00,-1.4388E-01,8.8026E-03,1.8951E-02,1.1156E-01,9.2491E-02,6.4221E-02,0.0000E+00,4.0000E+00,9.5552E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,3.5300E+02,6.4300E+02,5.9560E-03,2.6569E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,-2.6464E-03,1.9727E-02,1.9547E-02,-1.0000E+00,7.4156E-02,0.0000E+00,4.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
8,3.5300E+02,6.4300E+02,5.9560E-03,2.6569E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,-2.6464E-03,1.9727E-02,1.9547E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
9,3.5300E+02,6.4300E+02,5.9560E-03,2.6569E-01,3.3723E+01,-5.4990E+00,-1.4388E-01,-2.6464E-03,1.9727E-02,1.9547E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
