FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.4400E+02,6.8500E+02,-1.4494E-01,4.3324E-02,2.3501E+01,-3.0820E+00,8.8407E-02,1.2023E-02,1.2067E-02,5.3867E-02,1.3180E-01,8.4518E-02,0.0000E+00,4.0000E+00,9.3330E-02,2.6624E-04,2.6564E-04,-2.4747E-04
1,4.4400E+02,6.8500E+02,-5.9297E-02,2.8164E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.0097E-03,2.9759E-02,7.2318E-02,1.0739E-01,9.8916E-02,0.0000E+00,4.0000E+00,7.6047E-02,2.7201E-04,8.7654E-05,-2.9698E-04
2,4.4400E+02,6.8500E+02,-6.3217E-02,4.6932E-01,2.3501E+01,-3.0820E+00,8.8407E-02,9.3718E-03,2.7457E-02,-3.1887E-02,6.5549E-02,7.8967E-02,0.0000E+00,4.0000E+00,4.6418E-02,2.0301E-04,3.4526E-04,-3.7419E-04
3,4.4400E+02,6.8500E+02,4.2917E-02,3.3310E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.9382E-03,3.0663E-02,-9.5856E-02,6.8338E-02,6.5562E-02,0.0000E+00,4.0000E+00,4.8393E-02,2.2093E-04,5.0174E-04,-2.6760E-04
4,4.4400E+02,6.8500E+02,1.7618E-02,4.9208E-01,2.3501E+01,-3.0820E+00,8.8407E-02,5.6576E-04,3.2253E-02,-3.6107E-02,1.2883E-01,5.8956E-02,0.0000E+00,4.0000E+00,9.1231E-02,1.5520E-04,6.2331E-04,-9.5380E-05
5,4.4400E+02,6.8500E+02,-1.5327E-01,3.7523E-01,2.3501E+01,-3.0820E+00,8.8407E-02,9.4534E-03,3.8363E-02,9.9338E-02,9.7103E-02,1.0133E-01,0.0000E+00,4.0000E+00,6.8763E-02,2.4896E-05,2.4004E-06,-2.4463E-04
6,4.4400E+02,6.8500E+02,-2.6459E-02,6.7767E-01,2.3501E+01,-3.0820E+00,8.8407E-02,7.7436E-03,4.0852E-02,-6.6311E-02,1.2761E-01,1.3042E-01,0.0000E+00,4.0000E+00,9.0367E-02,3.9601E-04,-4.0130E-04,-3.4984E-04
7,4.4400E+02,6.8500E+02,-1.2477E-01,5.8405E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.0926E-02,3.9730E-02,3.9050E-02,1.1680E-01,7.1576E-02,0.0000E+00,4.0000E+00,8.2713E-02,2.5396E-04,2.4577E-04,-7.5625E-04
8,4.4400E+02,6.8500E+02,-5.4888E-02,5.6453E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.1765E-02,3.5052E-02,-7.8069E-02,7.0779E-02,4.8313E-02,0.0000E+00,4.0000E+00,5.0122E-02,6.2248E-04,-6.2831E-04,-6.2628E-04
9,4.4400E+02,6.8500E+02,-4.7678E-02,5.7479E-01,2.3501E+01,-3.0820E+00,8.8407E-02,5.8678E-03,3.9265E-02,-9.5933E-03,1.0477E-01,7.9899E-02,0.0000E+00,4.0000E+00,7.4195E-02,7.5202E-04,-7.3423E-04,-3.6411E-04
10,4.4400E+02,6.8500E+02,-7.6891E-02,4.6480E-01,2.3501E+01,-3.0820E+00,8.8407E-02,6.6358E-03,3.0202E-02,2.5474E-02,1.1088E-01,7.1500E-02,0.0000E+00,4.0000E+00,7.8516E-02,6.5763E-04,-4.8915E-05,-6.1257E-04
11,4.4400E+02,6.8500E+02,-1.4932E-01,5.8967E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.4898E-02,4.5837E-02,2.0351E-02,1.4993E-01,8.2340E-02,0.0000E+00,4.0000E+00,1.0617E-01,8.9894E-04,-1.3301E-03,-7.6468E-04
12,4.4400E+02,6.8500E+02,-8.3569E-02,5.2749E-01,2.3501E+01,-3.0820E+00,8.8407E-02,7.7518E-03,3.9939E-02,1.8397E-02,7.0605E-02,7.2541E-02,0.0000E+00,4.0000E+00,4.9998E-02,7.8066E-04,-1.3835E-03,-3.5777E-04
13,4.4400E+02,6.8500E+02,1.1650E-01,4.5479E-01,2.3501E+01,-3.0820E+00,8.8407E-02,-6.6222E-03,2.3812E-02,-8.6872E-02,1.5150E-01,1.1332E-01,0.0000E+00,4.0000E+00,1.0728E-01,1.1955E-04,3.1721E-04,-3.4598E-04
14,4.4400E+02,6.8500E+02,-1.1279E-01,7.8618E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.3219E-02,4.7387E-02,-9.3875E-03,1.3145E-01,5.5832E-02,0.0000E+00,4.0000E+00,9.3083E-02,5.7195E-04,-1.8295E-04,-2.5804E-04
15,4.4400E+02,6.8500E+02,-1.3635E-01,7.6652E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.6137E-02,4.6674E-02,-1.3436E-02,6.2237E-02,5.5453E-02,0.0000E+00,4.0000E+00,4.4072E-02,8.1470E-04,-1.0925E-03,-2.4183E-04
16,4.4400E+02,6.8500E+02,-1.8830E-01,6.7341E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.9698E-02,4.4761E-02,1.6125E-02,1.3929E-01,1.0042E-01,0.0000E+00,4.0000E+00,9.8638E-02,7.4215E-04,-8.2765E-05,-3.3238E-04
17,4.4400E+02,6.8500E+02,-7.3784E-02,6.6092E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.4907E-02,3.4150E-02,-9.0097E-02,8.1413E-02,7.5947E-02,0.0000E+00,4.0000E+00,5.7652E-02,7.7136E-04,-1.0843E-03,-5.4415E-04
18,4.4400E+02,6.8500E+02,2.6144E-02,6.2992E-01,2.3501E+01,-3.0820E+00,8.8407E-02,7.7710E-03,3.4021E-02,-1.4577E-01,1.0774E-01,7.9361E-02,0.0000E+00,4.0000E+00,7.6293E-02,2.5019E-04,4.0255E-04,5.8140E-05
19,4.4400E+02,6.8500E+02,-1.2632E-02,9.1933E-01,2.3501E+01,-3.0820E+00,8.8407E-02,1.1798E-02,4.8956E-02,-1.4110E-01,1.5306E-01,4.9344E-02,0.0000E+00,4.0000E+00,1.0839E-01,1.5556E-04,-1.1317E-03,-1.2033E-05
