Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
14.6535,0,0,0,0,2147483647
14.6535,5.0636,4.84995,4.84936,2.78923,0
14.6535,2.35822,2.3126,2.31238,0.128007,0
14.6535,1.78774,1.74266,1.7425,0.119198,0
14.6535,1.68616,1.65213,1.65198,0.126698,0
14.6535,1.48795,1.44808,1.44791,0.12288,0
14.6535,1.47069,1.43707,1.43692,0.113977,0
14.6535,1.35872,1.32509,1.32494,0.110782,0
14.6535,1.30059,1.25871,1.25852,0.12127,0
14.6535,1.27727,1.23906,1.23891,0.132924,0
14.6535,1.41668,1.34169,1.34154,0.145722,0
14.6535,1.32073,1.2818,1.28165,0.136081,0
14.6535,1.21416,1.18411,1.18396,0.139648,0
14.6535,1.25304,1.21517,1.21501,0.137134,0
14.6535,1.21847,1.18359,1.18344,0.108334,0
14.6535,1.19979,1.17007,1.16991,0.119365,0
14.6535,1.41457,1.37405,1.37388,0.280009,0
14.6535,1.40006,1.36604,1.3659,0.161451,0
14.6535,1.21023,1.17101,1.17083,0.107291,0
14.6535,1.20884,1.17624,1.1761,0.1377,0
14.6535,1.166,1.13391,1.13376,0.123099,0
14.6535,1.11013,1.07291,1.07276,0.133278,0
14.6535,1.23857,1.19802,1.19787,0.143505,0
14.6535,1.1344,1.09613,1.09598,0.13437,0
14.6535,1.0928,1.0514,1.05125,0.105408,0
14.6535,1.11968,1.07687,1.07671,0.125548,0
14.6535,1.09805,1.06035,1.06014,0.129131,0
14.6535,1.08784,1.05091,1.05076,0.097547,0
14.6535,1.18531,1.08129,1.08102,0.167991,0
14.6535,1.09862,1.06208,1.06192,0.100633,0
14.6535,1.0774,1.03733,1.03714,0.123495,0
14.6535,1.09412,1.06023,1.06008,0.119085,0
14.6535,1.08004,1.04247,1.04232,0.100062,0
14.6535,1.10046,1.05453,1.05437,0.104046,0
14.6535,1.11849,1.07404,1.07388,0.158343,0
14.6535,1.10724,1.06795,1.0678,0.086473,0
14.6535,1.07009,1.02533,1.02517,0.130344,0
14.6535,1.05148,1.01834,1.01815,0.124204,0
14.6535,1.04314,1.00019,1.00002,0.123718,0
14.6535,1.0584,1.02262,1.02247,0.141633,0
14.6535,1.0459,1.00592,1.00577,0.126768,0
14.6535,1.14674,1.05691,1.05671,0.160016,0
14.6535,1.22781,1.17186,1.1717,0.168193,0
14.6535,1.17983,1.13256,1.1324,0.137209,0
14.6535,1.13562,1.08774,1.08752,0.129675,0
14.6535,1.1017,1.06168,1.06153,0.121967,0
14.6535,1.08503,1.03722,1.03707,0.127922,0
14.6535,1.16869,1.12479,1.12464,0.167458,0
14.6535,1.14716,1.10326,1.1031,0.11952,0
14.6535,1.11022,1.06676,1.06654,0.142056,0
14.6535,1.0786,1.03033,1.03017,0.086753,0
14.6535,1.05304,1.01078,1.01061,0.101544,0
14.6535,1.08499,1.0302,1.03003,0.112777,0
14.6535,1.08426,1.04354,1.04338,0.146236,0
14.6535,1.2651,1.21802,1.21786,0.145591,0
14.6535,1.13895,1.09752,1.09735,0.127989,0
14.6535,1.05525,1.01501,1.01483,0.123875,0
14.6535,0.953197,0.917234,0.917081,0.080083,1
14.6535,1.05256,1.0059,1.00575,0.11305,0
14.6535,1.05587,1.0143,1.01415,0.13999,0
14.6535,1.00688,0.960618,0.960454,0.120077,0
14.6535,1.10165,1.06933,1.06918,0.176089,0
14.6535,1.05062,1.02278,1.02263,0.111899,0
14.6535,1.10335,1.03119,1.03101,0.15761,0
14.6535,1.13961,1.10154,1.10138,0.126409,0
14.6535,1.07742,1.04032,1.04016,0.126261,0
14.6535,1.02708,0.990954,0.990778,0.096394,0
14.6535,0.974363,0.947306,0.947154,0.109177,1
14.6535,1.33541,1.28755,1.28738,0.146265,0
14.6535,1.09472,1.05384,1.05366,0.191739,0
14.6535,1.18783,1.13549,1.13532,0.121716,0
14.6535,1.03619,1.00025,1.0001,0.12445,0
14.6535,1.05683,1.02069,1.02053,0.126841,0
14.6535,1.04429,1.00156,1.0014,0.13006,0
