FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.2300E+02,8.0400E+02,-1.2321E-02,-1.2796E-01,2.5836E+01,3.6527E+00,2.0741E-01,6.1431E-03,-2.8418E-03,-6.2464E-02,7.9311E-02,7.8508E-02,0.0000E+00,4.0000E+00,6.4072E-02,-3.3246E-05,-7.6336E-04,-5.2883E-06
1,4.2300E+02,8.0400E+02,1.3314E-01,-2.1621E-01,2.5836E+01,3.6527E+00,2.0741E-01,-6.6385E-03,-2.4098E-03,-1.0836E-01,9.8871E-02,8.1187E-02,0.0000E+00,4.0000E+00,7.9874E-02,-1.9643E-04,-4.1071E-04,2.4631E-04
2,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,9.4286E-02,8.8763E-02,0.0000E+00,4.0000E+00,7.6170E-02,-1.7715E-04,5.9574E-04,-9.3186E-05
3,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
4,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
5,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
6,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
8,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
9,4.2300E+02,8.0400E+02,5.4471E-02,1.2869E-01,2.5836E+01,3.6527E+00,2.0741E-01,4.8374E-03,1.7022E-02,-1.4301E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
