Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
13.875,1.56559,1.51952,1.51936,0.046411,0
13.875,1.56185,1.49659,1.49643,0.051491,0
13.875,1.49487,1.45584,1.45562,0.047946,0
13.875,1.48897,1.43549,1.43534,0.046717,0
13.875,1.56047,1.49018,1.49003,0.047549,0
13.875,1.44092,1.40737,1.40719,0.019464,0
13.875,1.51935,1.436,1.43585,0.046552,0
13.875,1.44928,1.38293,1.38276,0.023955,0
13.875,1.43929,1.37879,1.37863,0.012265,0
13.875,1.5351,1.42471,1.4245,0.070677,0
13.875,1.50889,1.45515,1.455,0.049765,0
13.875,1.49325,1.44337,1.44323,0.04875,0
13.875,1.48942,1.43636,1.4362,0.041615,0
13.875,1.4287,1.37301,1.37286,0.019684,0
13.875,1.42924,1.38258,1.38243,0.056541,0
13.875,1.49963,1.41967,1.41952,0.047227,0
13.875,1.42534,1.38556,1.38541,0.065833,0
13.875,1.44303,1.38929,1.38912,0.050583,0
13.875,1.35149,1.31213,1.31198,0.048496,0
13.875,1.39288,1.31565,1.31546,0.043435,0
13.875,1.47647,1.40164,1.40146,0.046681,0
13.875,1.40459,1.36065,1.36037,0.05142,0
13.875,1.39665,1.34583,1.34548,0.048493,0
13.875,1.39176,1.34195,1.34179,0.050447,0
13.875,1.41966,1.3848,1.38465,0.077552,0
13.875,1.32285,1.26812,1.26797,0.004071,0
13.875,1.39766,1.32107,1.32077,0.067516,0
13.875,1.38973,1.35333,1.35319,0.071838,0
13.875,1.37026,1.32354,1.3233,0.064646,0
13.875,1.41986,1.37591,1.37569,0.066616,0
13.875,1.39303,1.349,1.34885,0.01372,0
13.875,1.38761,1.32234,1.32214,0.01444,0
13.875,1.43239,1.36119,1.36101,0.049346,0
13.875,1.39056,1.34615,1.34597,0.10976,0
13.875,1.32477,1.28601,1.28586,0.020388,0
13.875,1.39071,1.28595,1.28579,0.049011,0
13.875,1.36375,1.33236,1.33221,0.040706,0
13.875,1.44942,1.36361,1.36345,0.052592,0
13.875,1.30333,1.27348,1.27334,0.049922,0
13.875,1.37331,1.29649,1.29633,0.051429,0
13.875,1.32207,1.28154,1.2812,0.041957,0
13.875,1.32785,1.29882,1.29865,0.046649,0
